component_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ko_gene,dataset,Percent Upregulated,p_value
UPF2,171.712019147694,0.00424587871403849,0.110716366933829,0.0383491513641888,0.969409302463006,0.999004649248404,ZFP57,GSE151825,,
CXXC1,218.966275047356,-0.00162018427840554,0.123887931464268,-0.0130778216994675,0.989565705406469,0.999004649248404,ZFP57,GSE151825,,
DPY30,142.710510901101,0.0121539612395339,0.122207386435926,0.0994535730940153,0.920778148381553,0.999004649248404,ZFP57,GSE151825,,
WDR82,400.294262563229,-0.015501339070956,0.0758288471594588,-0.204425355938204,0.838021117361786,0.999004649248404,ZFP57,GSE151825,,
UPF3A,125.805002301473,0.176238596153475,0.115494711197615,1.52594516515934,0.127023521304314,0.999004649248404,ZFP57,GSE151825,,
WDR5,194.459850667436,0.0552204580178177,0.1008003789291,0.547819944770821,0.583815542277432,0.999004649248404,ZFP57,GSE151825,,
UPF1,503.462939761681,-0.109630202547484,0.10197959327394,-1.07502098241353,0.282365334346062,0.514830386528638,ZFX,GSE151825,,
SETD1A,263.323639396598,0.0687155303997132,0.0858458215627194,0.800452825179258,0.423448485432553,0.636716599989997,ZFX,GSE151825,,
RBBP5,149.151581455825,-0.00446708271109567,0.126488062057075,-0.035316239639121,0.971827574049009,0.986228032869158,ZFX,GSE151825,,
UPF3B,83.8268323445755,0.333548948712456,0.185494603356911,1.79815985304259,0.0721516795858041,0.249510909399907,ZFX,GSE151825,,
ASH2L,287.740988994268,-0.131335643342544,0.0981881898092058,-1.3375910442768,0.181029785438155,0.402723996895084,ZFX,GSE151825,,
SETD1B,176.258010060701,-0.0249100099144679,0.129992720010173,-0.191626191932276,0.848035024517831,0.923121458980347,ZFX,GSE151825,,
UPF2,176.421090013884,0.209544501384849,0.131312210821982,1.59577315828552,0.110539448147332,0.311975590957461,ZFX,GSE151825,,
CXXC1,217.877387485833,0.00939626234932597,0.141495280105464,0.0664068959920247,0.947053880116381,0.973585019440399,ZFX,GSE151825,,
DPY30,156.572856808571,0.553023162132348,0.183935843349246,3.00660900052146,0.00264179322199127,0.0547415682683388,ZFX,GSE151825,,
WDR82,402.160314677021,0.0541949361653075,0.0905600092288745,0.598442255326403,0.549544878087099,0.731881236230698,ZFX,GSE151825,,
UPF3A,123.311801799525,0.0979925543318513,0.128233314738497,0.764173916362415,0.444763608261726,0.654255550753908,ZFX,GSE151825,,
WDR5,191.194294887674,-0.00835854951541131,0.120688120441554,-0.0692574338288672,0.944784707224678,0.972626770359028,ZFX,GSE151825,,
Ash2l,17255.568750127102,0.0448667073660101,0.0523384808183491,0.8572413005591185,0.3913115417187449,0.5155229521365995,Zfp532,GSE145653-1,,
Cxxc1,1819.071880229185,0.4196644116625355,0.0768639980725643,5.459830638348352,4.7658899470418165e-08,3.605543722248123e-07,Zfp532,GSE145653-1,,
Dpy30,4135.938160421507,0.1683010266781826,0.0685199458094067,2.456234089068377,0.0140401666491442,0.03379012859089,Zfp532,GSE145653-1,,
Rbbp5,5076.178404429039,0.0434145636792046,0.0606207709374099,0.7161664724460454,0.4738885627398462,0.5952353718460143,Zfp532,GSE145653-1,,
Setd1a,1624.4328902158009,0.2264180370333054,0.0837628893780799,2.7030829370190896,0.0068699602189534,0.0181198726790313,Zfp532,GSE145653-1,,
Setd1b,1399.6039928122284,1.208398300874114,0.0883214057273283,13.68182821506217,1.3037305280168177e-42,1.6598486326066363e-40,Zfp532,GSE145653-1,,
Upf1,6999.811077396166,0.2188773055487424,0.0617370386707649,3.5453159118302486,0.0003921427937201,0.0014507230264015,Zfp532,GSE145653-1,,
Upf2,3858.402435995061,0.4658516855903115,0.0692984983154919,6.722392215044129,1.787649700107494e-11,2.2698172113134864e-10,Zfp532,GSE145653-1,,
Upf3a,1595.0147933190628,-0.016611694654604,0.1826831507916331,-0.0909317284195039,0.9275468389875317,0.9528999657292668,Zfp532,GSE145653-1,,
Upf3b,2376.27164211439,0.3574929638833439,0.0823347118551356,4.341947106250124,1.4122553688189916e-05,7.062276317108984e-05,Zfp532,GSE145653-1,,
Wdr5,11761.112331371523,0.2488671023907773,0.0534504618000059,4.656032782690564,3.223606272751003e-06,1.8164275855868094e-05,Zfp532,GSE145653-1,,
Wdr82,10189.85259748144,0.2173458586680043,0.0542492389511696,4.006431479410058,6.164299693145849e-05,0.0002739430291306,Zfp532,GSE145653-1,,
Ash2l,18092.76210772311,0.2845399434540182,0.0642766250424207,4.42680279598112,9.564009440174518e-06,3.562042365959844e-05,Smg7,GSE145653-1,1.0,0.2204
Cxxc1,2044.652175747195,0.7944230205315943,0.0850279406275534,9.34308198773616,9.356994861936558e-21,1.6714731194366174e-19,Smg7,GSE145653-1,1.0,0.2204
Dpy30,3680.322254630255,-0.0458302949922474,0.0846044323491743,-0.541700874525101,0.5880245871995694,0.6781452854222317,Smg7,GSE145653-1,1.0,0.2204
Rbbp5,5133.125333877171,0.1859946954823653,0.0681212791506076,2.730346490868944,0.0063267790604467,0.0140291569605588,Smg7,GSE145653-1,1.0,0.2204
Setd1a,1527.032083305415,0.1661827340573969,0.0948205445768107,1.7526026115867557,0.0796702426948203,0.1316999758537207,Smg7,GSE145653-1,1.0,0.2204
Setd1b,1214.0296150801576,0.9887183554805362,0.1116067760235283,8.8589455829465,8.07747850958321e-19,1.2396386442668789e-17,Smg7,GSE145653-1,1.0,0.2204
Upf1,7896.749559677592,0.6241572599291806,0.0691077839073838,9.031649181019285,1.6910378563546258e-19,2.750805924703565e-18,Smg7,GSE145653-1,1.0,0.2204
Upf2,4600.832727557042,0.968132032984799,0.0704884719786836,13.734615119442102,6.2989911173443625e-43,3.8219195049540886e-41,Smg7,GSE145653-1,1.0,0.2204
Upf3a,1788.4801299684088,0.4054226680930721,0.1044056344079774,3.883149318444204,0.0001031122031788,0.0003238024832468,Smg7,GSE145653-1,1.0,0.2204
Upf3b,2446.5591645008035,0.5344878787877394,0.0954657860194077,5.598737527590047,2.1591841362594285e-08,1.1427702568793001e-07,Smg7,GSE145653-1,1.0,0.2204
Wdr5,12431.741400281167,0.4936076241122624,0.0613754450415091,8.042428430106348,8.807532975579492e-16,1.0364347314961792e-14,Smg7,GSE145653-1,1.0,0.2204
Wdr82,10475.51719932244,0.3942251810839747,0.0634247633989016,6.21563502893259,5.111749340672733e-10,3.312616291972685e-09,Smg7,GSE145653-1,1.0,0.2204
Ash2l,20002.10481290481,0.5931986279441893,0.0555578215329408,10.677139808163204,1.30222133759584e-26,5.859581299010072e-25,Etv5,GSE145653-1,0.1,0.6821
Cxxc1,1660.1142574333358,0.3481825029387223,0.0857620562010482,4.059866546605336,4.910077150206225e-05,0.0002153818070638,Etv5,GSE145653-1,0.1,0.6821
Dpy30,3950.460310915442,0.2151807111180421,0.081853246434452,2.6288598252527287,0.0085671666729428,0.0217005195270722,Etv5,GSE145653-1,0.1,0.6821
Rbbp5,4210.356067410842,-0.3322828885900937,0.0671337680655206,-4.9495641041002685,7.437987694041154e-07,4.621430436636212e-06,Etv5,GSE145653-1,0.1,0.6821
Setd1a,1471.546115135123,0.129300153830688,0.0980203367013127,1.3191155854186778,0.187130473484039,0.2904500120681079,Etv5,GSE145653-1,0.1,0.6821
Setd1b,1242.937692797368,1.0913149102089594,0.094888100536531,11.50107235826491,1.302865750218122e-30,7.422657332593487e-29,Etv5,GSE145653-1,0.1,0.6821
Upf1,7254.624285391263,0.4736554597613697,0.0656435861183637,7.215563435356937,5.37111145091457e-13,7.807452025717279e-12,Etv5,GSE145653-1,0.1,0.6821
Upf2,3236.3924772344635,0.173970621111177,0.0726753766931373,2.393804188256857,0.0166746481456755,0.0385464829270697,Etv5,GSE145653-1,0.1,0.6821
Upf3a,2034.670068210291,0.7672222152169847,0.094125002802567,8.151098989354402,3.606317607319097e-16,7.227469712597379e-15,Etv5,GSE145653-1,0.1,0.6821
Upf3b,2026.1387481233376,0.1008889360567754,0.0871041863173689,1.158255880942175,0.2467596300376252,0.3623056024941917,Etv5,GSE145653-1,0.1,0.6821
Wdr5,11313.138158505782,0.3129106480493288,0.059069619266475,5.297319534729439,1.1751495089888269e-07,8.314315179020097e-07,Etv5,GSE145653-1,0.1,0.6821
Wdr82,8897.606773339277,0.0163481964671379,0.0590864421731516,0.2766827019171321,0.7820237554055508,0.8522339868974181,Etv5,GSE145653-1,0.1,0.6821
Ash2l,18779.143618885788,0.3613376517053758,0.0545387323384546,6.625340124574199,3.464495212836095e-11,3.5725550708259423e-10,Alg13,GSE145653-1,,
Cxxc1,1746.2602307145316,0.3995678036250828,0.0785705092721311,5.085467910627494,3.6672083415242405e-07,2.192714110855472e-06,Alg13,GSE145653-1,,
Dpy30,4076.406885004956,0.218004646266693,0.0730966155360904,2.9824177859377943,0.0028598144610231,0.007860592045612,Alg13,GSE145653-1,,
Rbbp5,4351.094405533239,-0.3244495099931171,0.0617441280708594,-5.254742760651976,1.482315067227177e-07,9.451599730824776e-07,Alg13,GSE145653-1,,
Setd1a,1571.7672567981297,0.2250535569595201,0.0878982179806694,2.5603881640582715,0.0104555309306764,0.0247527637344222,Alg13,GSE145653-1,,
Setd1b,1130.0396260725597,0.8162560581846383,0.09171346800385,8.900067524983056,5.5812721757584515e-19,1.367896168492744e-17,Alg13,GSE145653-1,,
Upf1,7566.167039020554,0.5024044349975594,0.0614377598073121,8.177453679516566,2.89904819123947e-16,5.374797401328104e-15,Alg13,GSE145653-1,,
Upf2,3365.584592053626,0.1975398928985108,0.0711286972344388,2.77721792439728,0.0054826405571486,0.014018402617538,Alg13,GSE145653-1,,
Upf3a,1997.6034815407584,0.6544303346225622,0.0854438960605805,7.65918181163655,1.8712134035216067e-14,2.843478968516095e-13,Alg13,GSE145653-1,,
Upf3b,2194.512603925362,0.236313293942366,0.084843766779144,2.785275841860143,0.0053482204290544,0.0137224332600802,Alg13,GSE145653-1,,
Wdr5,11598.206840212886,0.2982568917148162,0.056809244808735,5.250147096990734,1.5197780008458357e-07,9.672996410252777e-07,Alg13,GSE145653-1,,
Wdr82,8960.047333289305,-0.0517975672465694,0.0563592967782376,-0.919059857158658,0.3580642645762417,0.4802653893608365,Alg13,GSE145653-1,,
Ash2l,16330.962747418132,0.1012420543666051,0.0437817902599964,2.312423812854232,0.0207543393431227,0.0499576032024271,Usp7,GSE145653-1,0.0416666666666666,0.7968
Cxxc1,1623.17747121498,0.3204497537664211,0.0725870868675135,4.414693681691734,1.011531180383658e-05,5.627835992749255e-05,Usp7,GSE145653-1,0.0416666666666666,0.7968
Dpy30,3787.2443403194807,0.1326190269808911,0.0621903323913679,2.1324701425667034,0.032968216469644,0.0738385673090135,Usp7,GSE145653-1,0.0416666666666666,0.7968
Rbbp5,4539.953001819456,-0.0623928666513247,0.0533627242689371,-1.1692219148497276,0.2423142339200108,0.3712169937552285,Usp7,GSE145653-1,0.0416666666666666,0.7968
Setd1a,1426.630728267368,0.0758679388929231,0.0801313933364655,0.946794205541386,0.3437436550164335,0.4835106282039179,Usp7,GSE145653-1,0.0416666666666666,0.7968
Setd1b,1084.0949607838595,0.8181337092693846,0.0855461506981449,9.56365309943894,1.1367190244996737e-21,5.029164553121879e-20,Usp7,GSE145653-1,0.0416666666666666,0.7968
Upf1,6403.486825146576,0.1820169666177684,0.0568426590155587,3.202119143792122,0.001364205615077,0.0047099275386652,Usp7,GSE145653-1,0.0416666666666666,0.7968
Upf2,3488.5971746538344,0.401629413843782,0.0583890704703596,6.87850329879225,6.0484650181567295e-12,8.910547188450466e-11,Usp7,GSE145653-1,0.0416666666666666,0.7968
Upf3a,1459.121652859533,-0.056562963493691,0.0768492179590979,-0.7360252322124611,0.4617153423028124,0.5976662983930965,Usp7,GSE145653-1,0.0416666666666666,0.7968
Upf3b,2191.2871560975973,0.3429445250688713,0.0657819978685681,5.2133491864152814,1.8546131702724045e-07,1.4252321410617232e-06,Usp7,GSE145653-1,0.0416666666666666,0.7968
Wdr5,11055.253996439338,0.2843031107769164,0.0485957868261389,5.850365419415209,4.904941995312798e-09,4.8621071403787854e-08,Usp7,GSE145653-1,0.0416666666666666,0.7968
Wdr82,9107.710799353565,0.1157792358049012,0.0465471286279141,2.4873550575033523,0.0128696883787458,0.0332685168319717,Usp7,GSE145653-1,0.0416666666666666,0.7968
Ash2l,16797.352401795382,-0.0152403842782672,0.0435214711207182,-0.3501808161767788,0.7262030028935074,0.8003050602579379,Dym,GSE145653-1,,
Cxxc1,1966.5268956587424,0.6252102182048417,0.0690077033801803,9.060006167143476,1.3044318074612357e-19,2.6938402988788504e-18,Dym,GSE145653-1,,
Dpy30,4291.860013208541,0.2833521979949358,0.0609357153116453,4.650018409495631,3.3190540122838176e-06,1.5198422152773146e-05,Dym,GSE145653-1,,
Rbbp5,4990.792659852699,0.012326970897958,0.0534442037106505,0.2306512220613638,0.8175857708747691,0.8702442723173192,Dym,GSE145653-1,,
Setd1a,1572.0477435990804,0.1537915147107548,0.0815974013194483,1.8847599583309191,0.0594622532586472,0.1057799727564344,Dym,GSE145653-1,,
Setd1b,1346.5623415864216,1.139967440340539,0.0830660154920187,13.723632144725558,7.329943465122729e-43,6.177184654334482e-41,Dym,GSE145653-1,,
Upf1,6929.164437665353,0.207475358238114,0.0547195259011168,3.791614690029309,0.0001496710007841,0.0005095950159698,Dym,GSE145653-1,,
Upf2,3733.990650836245,0.3989360665279375,0.0576947669738114,6.914597067512565,4.69195050589616e-12,4.5916490467682695e-11,Dym,GSE145653-1,,
Upf3a,1563.6042418883685,-0.0572821030152073,0.0763487079462276,-0.750269448640193,0.4530924390088982,0.5642032133326661,Dym,GSE145653-1,,
Upf3b,2406.094815540123,0.4056478987807562,0.0653609964627784,6.20626858116772,5.425742023919543e-10,4.209060479161827e-09,Dym,GSE145653-1,,
Wdr5,11487.304993014252,0.2015372917360419,0.0476404802309803,4.230379096913121,2.332978086971274e-05,9.255510726323464e-05,Dym,GSE145653-1,,
Wdr82,9727.239992285598,0.1063875528507675,0.0490144555487382,2.17053421607386,0.0299663994754538,0.0586463700255067,Dym,GSE145653-1,,
Ash2l,17445.03243975222,0.1584327971643364,0.0411980528537029,3.84563798990554,0.0001202391741292,0.0003705994625093,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Cxxc1,1778.6421412643135,0.4382737010621091,0.0692773666974898,6.326362013381624,2.5100855153769955e-10,1.5411480801491675e-09,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Dpy30,3581.6376239927617,-0.1605551236344039,0.065930929541256,-2.435201880991789,0.0148834832809774,0.0301273835166801,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Rbbp5,4835.624686887475,-0.0099483851283127,0.0506854896713635,-0.1962767883434967,0.8443935282430853,0.8864194093603454,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Setd1a,1580.2473924589508,0.2319675136937327,0.0775477818645658,2.991284961558988,0.0027780612049141,0.0066520064330264,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Setd1b,1153.0523810659688,0.8556421394851945,0.0862447356539454,9.921094116612922,3.370410739311665e-23,5.237157829640387e-22,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Upf1,6737.016373992345,0.1962286492074899,0.0516436488442454,3.799666630824353,0.0001448908634036,0.000440417441531,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Upf2,3368.600973299979,0.1917106381018351,0.0565456983467844,3.3903664417779216,0.0006979925578604,0.0018817456251936,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Upf3a,1724.3427804811338,0.281200375755669,0.0720123957415437,3.904888496765364,9.42688399623082e-05,0.0002954097613633,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Upf3b,2094.87259215856,0.1014886885914843,0.0661978907709905,1.533110608351271,0.1252486043257956,0.193902670269412,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Wdr5,10561.930680804442,0.0349738128882266,0.0431433781959952,0.8106415016771471,0.4175715762831727,0.5194749141568321,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Wdr82,9105.627332386495,-0.0131346355649351,0.0433507345293153,-0.3029853059595342,0.7619010597453796,0.8208182534958763,Fbxw7,GSE145653-1,0.0769230769230769,0.7963
Ash2l,18647.944921012564,0.1933619336096564,0.2078202933347209,0.9304285472171022,0.3521492436317325,0.56352659913854,Hprt,GSE145653-1,0.0,1.0
Cxxc1,1972.142750185278,0.5607947109247736,0.1283804173439881,4.368226264774913,1.2525968647641624e-05,0.0002028354607133,Hprt,GSE145653-1,0.0,1.0
Dpy30,4239.220954312526,0.1706330871973495,0.1177473853331876,1.44914544568877,0.1472969688750523,0.3164640825725975,Hprt,GSE145653-1,0.0,1.0
Rbbp5,4722.124450591637,-0.2433250888077954,0.1336088954216892,-1.821174316573952,0.0685803632857052,0.1856908779984953,Hprt,GSE145653-1,0.0,1.0
Setd1a,1675.0402711430163,0.2436238303401609,0.1340125891885803,1.8179174942835965,0.0690767440285893,0.1865800096613317,Hprt,GSE145653-1,0.0,1.0
Setd1b,1291.141879981806,0.9869833397759314,0.1456787067776237,6.775069339972561,1.243466075535141e-11,1.0104678285766356e-09,Hprt,GSE145653-1,0.0,1.0
Upf1,8042.341529029936,0.5124211405526529,0.1325158291108222,3.866867407395671,0.0001102423267709,0.0012233134794976,Hprt,GSE145653-1,0.0,1.0
Upf2,3710.036554299979,0.3057750443638284,0.1168817110958399,2.616106844235887,0.0088938722481329,0.0404567065598068,Hprt,GSE145653-1,0.0,1.0
