gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
IL1B,97,26,78,1,7,4,1,21,61,27,67
PLGLB2,0,6,27,14,18,20,6,54,42,7,64
IL37,13,0,0,0,0,2,0,2,6,10,7
CHCHD5,123,93,157,164,161,155,161,102,117,124,83
PAX8,15,4,13,4,1,1,9,1,5,3,6
INSIG2,414,129,359,383,410,501,535,340,277,328,325
POLR1B,762,141,297,4343,5355,5576,6199,414,257,455,238
CCDC93,1276,1460,1936,1597,1840,2013,1986,1023,826,1101,1129
PSD4,1369,809,424,2231,2483,2424,2306,630,553,745,490
SLC25A23,56,5,25,216,257,152,199,25,18,10,14
PSPN,135,80,128,118,94,130,145,89,128,119,141
GTF2F1,2406,1503,3580,3669,4077,4199,4188,2379,2014,2705,2017
ALKBH7,249,100,296,389,368,391,319,146,123,209,122
CLPP,452,166,530,1793,1703,1853,1888,620,434,670,415
TNFSF9,210,210,319,298,329,204,180,146,198,132,175
GRIA3,4,4,2,17,61,50,33,7,25,12,10
THOC2,11857,7704,12234,11251,13394,13275,13565,9149,8656,9706,9783
MED1,3550,2117,4047,4828,5718,5691,5306,4057,3186,4142,3550
RPL23,16392,3804,8143,34352,42176,39348,38856,4282,3469,4830,3602
ATG4C,989,293,596,1695,1819,1922,2015,431,442,435,383
CD70,249,31,107,1019,1123,1184,1496,246,206,213,245
C3,137,92,112,38,43,38,35,52,73,95,55
SH2D3A,164,180,167,252,227,265,278,125,169,170,210
TRIP10,301,118,112,767,843,982,930,545,344,488,493
GPR108,370,247,555,690,629,720,581,507,381,565,374
TNFSF14,76,101,98,25,24,62,34,93,161,128,137
FOSB,1113,1401,1742,23,41,74,30,1142,1657,875,1150
OPA3,780,708,747,1668,1886,1898,1860,983,981,1146,867
SNRPD2,2477,1208,1935,6534,7481,7497,7478,2109,1387,2219,1899
RTN2,18,11,17,96,82,59,73,26,51,48,50
EML2,247,58,173,696,744,1023,913,271,230,361,238
VASP,754,646,444,3547,3730,3782,3679,884,778,866,1049
SYMPK,972,562,1061,2005,2219,2342,2033,1195,1068,1427,1416
GPCPD1,19850,40965,58640,2059,2276,2661,2676,37330,40180,40751,41842
SDCBP2,5,11,18,4,5,16,20,28,26,13,13
PANK2,2499,1598,3038,2849,3221,3403,3114,3076,2752,3101,2856
TGM3,0,0,0,0,0,1,0,0,0,5,0
GNRH2,3,2,5,0,2,9,0,2,6,7,7
DEFB126,0,0,0,0,0,0,0,0,0,0,0
FOXA2,0,0,0,0,1,0,0,0,0,2,0
FAM182A,34,42,33,13,23,15,7,28,39,45,85
CD93,33,58,38,13,22,8,5,15,21,12,33
GZF1,1648,1822,2808,980,1135,1089,1147,2461,2148,2834,2282
PAX1,20,38,66,9,14,15,10,15,19,20,25
NAPB,1664,1589,3028,996,1265,1207,1212,4233,3933,4270,4142
CST8,0,3,0,0,0,0,0,0,0,0,0
NKX2-4,4,1,0,782,852,763,659,427,490,511,501
CENPB,743,201,364,1655,1813,1721,1467,439,430,585,405
PSMF1,3454,4353,7188,2998,3459,3343,3104,4925,5203,4938,5329
NKX2-2,0,0,0,1,0,0,0,0,0,10,0
DTD1,472,76,531,1685,1741,1972,1871,94,55,69,83
CSTL1,13,2,0,12,0,19,5,15,6,9,14
RBCK1,848,773,1134,602,519,717,751,1067,833,1244,967
TMX4,4634,1962,3959,3368,3717,3866,3889,4067,3702,4891,4215
CST11,0,0,0,0,0,0,0,1,0,0,0
STK35,830,850,1322,963,1026,1016,1015,1004,945,977,1007
