gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
SLC39A12-AS1,432,328,480,257,219,252,240,390,435,392,593
LINC00937,335,193,224,156,231,256,227,320,441,470,385
LOC101927769,0,6,0,0,4,2,0,0,0,1,0
LINC02097,0,0,0,1,0,0,0,0,0,0,0
C6orf47,27,86,46,219,246,241,260,100,220,226,241
MRPS18B,182,104,203,411,466,489,451,156,133,149,133
DDC-AS1,0,7,0,1,0,0,0,0,5,5,0
FTCDNL1,47,16,13,99,85,131,131,4,9,13,0
LINC01907,24,17,45,11,26,43,16,16,40,27,40
BTNL2,0,0,0,0,0,0,0,0,0,0,0
BAIAP2-AS1,102,70,114,89,113,129,153,146,102,145,94
LOC102725019,0,0,0,0,0,0,0,0,0,0,0
LINC01375,0,7,0,0,3,0,0,0,0,0,0
HLA-DQB2,1,1,0,1,1,0,0,2,0,0,2
AP4B1-AS1,95,96,210,85,67,137,72,83,115,179,173
DHX16,215,165,255,516,590,580,576,339,302,377,332
LOC105378933,0,0,0,0,0,0,0,0,0,0,0
TAP1,51,64,98,1,14,33,33,29,45,34,53
TEX22,59,39,51,61,48,44,47,33,55,25,37
LOC100129215,43,32,31,71,74,62,42,29,26,28,28
LST1,0,5,15,0,0,0,0,0,0,0,2
OR2J1,0,0,0,0,0,0,0,0,0,0,0
PSMB8,14,6,27,27,21,27,29,9,9,11,12
LINC01733,68,51,45,44,63,71,46,62,54,26,62
LOC100288778,98,113,188,309,254,283,267,582,545,703,645
APOM,6,3,12,4,8,2,3,1,0,1,2
RPS18,4904,1137,2691,12382,13802,12248,11885,2796,2235,3028,2370
HCG23,0,0,0,0,0,0,0,1,0,0,0
NPIPA8,0,4,4,25,4,9,1,7,12,7,0
LEMD1-AS1,45,84,39,16,35,46,16,80,122,108,102
GAS1RR,21,22,26,6,10,16,9,17,12,12,36
LINC00381,59,92,49,56,72,48,43,43,65,24,37
ZNF32-AS1,1,2,0,3,1,5,2,0,0,0,0
CLIC1,555,328,625,2306,2506,2854,3047,482,401,471,424
LOC105378044,0,4,0,8,13,18,37,6,16,8,1
LOC101929541,2,4,6,0,0,0,0,12,4,6,5
STK19,34,62,81,112,114,90,109,49,76,51,99
GRM7-AS3,25,19,5,0,2,0,0,0,0,0,0
HLA-DRA,11,2,7,0,0,0,0,0,0,0,2
HLA-DMB,1,1,2,1,0,1,0,1,3,0,5
BAZ2B,167,138,173,101,95,123,77,78,114,62,146
OR2J3,0,0,0,0,0,0,0,0,0,0,0
ARHGAP26-AS1,9,0,3,3,0,0,0,2,0,0,1
LTA,0,0,0,0,0,0,0,0,0,0,0
TMEM191A,0,17,0,0,4,1,2,0,7,0,12
OR52I2,0,1,0,2,0,0,1,0,0,5,0
LOC101929073,0,0,0,0,6,0,0,0,0,0,0
NPY6R,74,6,19,7,28,19,9,11,12,16,9
CFLAR-AS1,244,202,254,160,153,181,166,277,314,360,360
ZNF192P1,77,46,89,12,13,16,32,88,190,149,262
LINC00351,19,5,2,3,0,1,0,3,1,2,5
CROCC2,7,0,1,4,0,1,3,6,7,11,3
LOC105376072,0,0,0,0,0,2,0,0,0,1,0
OR2J2,0,0,0,0,0,0,0,0,0,0,2
LINC02089,15,9,15,10,4,17,11,9,11,27,27
ST7-AS2,274,274,291,262,233,318,324,280,292,183,277
LINC00375,0,0,0,0,0,0,0,3,0,0,0
DCAF8L1,4,3,0,0,0,3,0,0,0,0,3
LINC01345,5,1,1,6,2,7,2,10,7,2,14
HLA-F-AS1,288,57,315,106,94,68,78,429,345,469,378
LINC01876,74,33,71,50,23,66,48,41,65,72,50
GTF2H4,1,3,6,206,220,207,196,76,72,107,43
PARD3-AS1,0,0,0,0,4,0,0,0,3,0,0
SORCS3-AS1,0,0,2,0,0,0,0,1,0,0,0
TRIM31,0,2,2,0,1,2,0,1,0,2,0
LY6G5C,0,7,4,1,2,4,4,19,7,12,21
LOC105376490,1,5,0,0,0,0,0,0,0,0,0
MRPL23-AS1,13,8,5,1,0,0,0,9,5,3,8
CLIC1,555,328,625,2305,2507,2854,3046,482,401,471,424
SLC16A1-AS1,490,381,404,625,762,754,837,418,509,412,521
PSORS1C3,0,0,0,3,0,6,0,0,1,1,0
USP17L7,8,0,2,3,6,3,2,6,6,2,1
ANKRD18DP,23,2,4,5,13,28,24,7,0,8,2
TRIM39,85,379,182,977,1153,1027,989,1257,1018,1504,1086
LOC101929523,9,0,0,1,0,4,0,1,4,0,0
OR2W1,0,0,0,0,0,0,1,0,1,0,0
AGPAT1,123,65,423,0,0,0,1,11,2,0,0
LINC01748,262,165,300,117,154,173,187,203,249,169,313
TMEM185B,133,40,100,1153,1330,1246,1289,183,113,194,152
ADIPOQ-AS1,70,46,71,18,35,29,22,65,51,59,72
LOC101928627,28,25,13,18,5,2,20,38,58,22,39
CUTA,136,55,105,328,366,351,363,79,98,98,64
LINC00323,31,4,25,3,1,0,0,0,0,0,1
LINC02549,0,0,0,0,0,0,0,0,0,0,0
LOC101929551,0,0,0,0,0,1,0,1,0,0,0
LINC01918,5,0,0,0,0,3,0,0,1,4,0
UPK1A-AS1,48,44,248,12,22,31,35,171,175,217,270
FAM138B,41,25,81,0,3,9,0,50,47,33,59
LOC101928107,0,0,0,2,0,0,0,0,2,3,0
C6orf47,27,86,46,219,246,241,260,100,220,226,241
LOC102725019,0,0,0,0,0,0,0,0,0,0,0
C2,10,16,13,3,7,3,3,7,9,9,5
LINC00606,0,4,0,0,0,0,1,3,9,0,1
SNORD57,293,183,432,144,97,177,83,274,510,408,685
VARS,136,12,40,454,108,600,338,22,4,93,32
CT47A9,0,0,0,0,0,0,0,0,0,0,0
LY6G6D,3,2,0,0,0,0,0,0,0,0,0
SLC39A7,215,167,211,589,635,561,613,305,298,382,373
PRRC2A,514,67,87,287,574,409,303,115,984,210,112
SHANK2-AS1,86,89,85,42,38,50,39,80,96,95,102
LINC00974,14,3,14,5,0,8,0,7,7,9,0
DDAH2,11,15,27,46,31,30,28,8,28,5,10
PLCG1-AS1,71,155,123,23,32,31,24,170,268,226,264
KIF4B,25,18,7,93,119,178,221,20,17,33,19
CLIC1,555,328,625,2305,2503,2854,3047,475,401,471,424
LOC101929574,11,0,10,12,15,14,12,2,0,3,0
LINC01108,11,13,14,5,6,7,17,19,18,23,14
TEX41,139,83,141,103,108,89,111,110,116,104,119
LOC105378385,11,3,7,4,5,8,16,4,18,4,7
CT47A12,0,0,5,1,0,0,1,1,3,0,2
LINC01535,1,0,0,2,6,4,1,0,3,4,0
LINC01015,0,0,0,0,0,0,0,0,0,0,0
ENTPD1-AS1,1122,577,987,1091,1352,1180,1424,590,617,651,617
LOC102725191,31,17,25,8,9,6,10,11,23,9,16
LENG8-AS1,119,47,175,0,0,0,65,4,57,0,57
HSPA1L,0,16,12,7,44,71,11,10,19,113,18
LOC101928525,5,1,0,5,2,3,1,0,0,1,0
C6orf48,201,121,288,153,312,166,233,282,341,313,241
FAM66C,37,17,30,15,15,16,27,29,24,13,45
PTPRD-AS2,12,29,23,14,24,17,22,21,18,13,22
LINC00424,0,0,0,0,0,0,0,0,0,0,0
PABPC1L2B-AS1,0,0,0,0,0,0,0,0,0,0,0
LINC02554,22,0,2,3,3,4,10,12,12,19,15
HSBP1L1,422,196,237,456,488,351,365,122,93,181,112
SMCR5,41,29,62,32,21,27,24,23,41,45,41
LOC101927196,2,0,0,0,0,0,0,0,0,0,0
CUTALP,348,192,509,311,448,495,459,475,603,610,634
LOC100507564,16,12,15,3,3,12,0,9,10,6,14
PP12613,0,2,1,25,19,16,12,7,3,6,4
DISC1-IT1,212,207,240,126,155,183,186,244,284,206,332
DAB1-AS1,14,11,15,9,7,7,6,13,18,1,7
TAS2R46,18,9,5,3,10,2,8,11,9,2,2
SRRM5,27,28,28,68,35,61,27,63,27,49,55
LINC01149,0,3,17,0,4,7,8,10,0,9,0
LOC100506682,0,4,0,1,0,0,0,0,1,0,6
FAM30A,88,34,59,71,65,17,39,5,7,6,16
PGAM4,18,10,19,8,0,1,8,16,21,14,5
RING1,20,109,251,154,327,17,142,465,201,314,404
C13orf42,0,4,9,0,1,0,4,0,2,0,9
LOC101929006,0,0,4,0,0,0,0,0,0,0,0
CACTIN-AS1,2,5,13,13,7,5,3,14,5,3,7
LOC100507600,3,6,6,3,1,8,0,4,10,2,6
MROH5,0,0,0,0,0,0,0,0,7,0,0
LINC00840,21,3,0,3,10,7,17,2,3,7,1
LINC01941,2,0,0,0,0,0,0,0,4,0,0
HLA-DPB1,10,0,1,0,0,4,1,4,3,2,0
LOC339529,26,23,24,0,0,0,0,2,16,10,11
OR2B3,0,0,0,0,0,0,0,0,0,0,0
LOC107985092,19,59,53,2,1,1,9,9,20,8,11
MCCD1,0,0,0,0,0,1,0,0,0,0,1
LINC00348,5,12,15,0,9,12,12,2,10,5,14
ATP6V1G2,6,1,0,3,2,1,2,2,6,2,4
LOC100506797,8,20,23,1,1,0,3,2,4,5,0
ZFP57,0,0,0,0,0,0,0,0,0,0,0
ATE1-AS1,11,0,2,2,1,9,5,4,0,1,8
LHFPL3-AS1,37,59,37,9,10,15,27,45,56,49,59
GNL1,37,58,55,478,601,352,312,430,494,728,423
ERVMER34-1,40,13,30,143,86,184,148,11,8,17,16
LINC01359,221,264,323,158,178,199,180,295,287,227,289
C6orf10,2,1,2,0,0,0,1,0,0,0,0
UBD,0,0,0,0,0,0,0,0,0,0,0
TTTY4,0,0,0,0,0,0,0,0,0,0,0
BSN-AS2,51,59,94,32,46,61,40,70,74,47,99
WDR46,95,177,100,523,613,936,1147,357,95,249,260
LINC01276,6,0,0,0,2,0,0,0,0,0,0
MCCD1,0,3,0,1,3,3,1,2,0,1,2
CT47A11,0,0,0,0,0,0,0,0,0,0,0
OR2J1,0,0,0,0,0,0,0,0,0,0,1
LINC00161,23,7,34,7,6,6,5,5,1,9,10
B3GALT4,6,3,0,2,2,3,4,7,5,5,7
RBMY1J,0,0,0,0,0,0,0,0,0,0,0
LOC102724450,0,5,5,49,40,33,23,0,0,3,0
DANCR,1192,493,407,2348,2740,2611,2469,284,215,291,168
LOC101928161,0,0,0,0,3,0,0,0,1,0,0
LOC105375451,8,4,17,1,0,0,0,0,0,2,1
LOC105378591,0,0,0,0,0,0,0,0,0,0,0
MAGI2-AS2,11,0,0,0,0,0,0,4,0,0,0
LTA,0,0,0,0,0,0,0,0,0,0,1
LINC01692,11,8,6,9,3,3,2,7,2,2,3
LINC01203,0,0,0,5,3,4,5,0,0,0,3
LINC00658,20,15,8,11,7,16,1,8,15,9,6
LINC01247,43,13,33,21,31,35,28,40,25,49,34
SLC8A1-AS1,154,84,194,110,67,84,111,114,116,120,147
LINC00511,218,161,242,109,135,148,153,116,195,173,118
ITGB2-AS1,19,10,8,4,1,17,12,10,13,13,5
OR2H2,0,0,1,0,0,0,0,0,0,0,0
DAXX,23,20,27,452,516,438,369,339,250,348,248
C14orf132,19,34,46,18,30,24,29,30,49,30,46
LOC102724094,36,13,22,8,24,27,5,76,44,57,77
WDR46,42,36,60,144,128,157,149,78,31,78,52
ANHX,10,0,1,0,0,0,0,0,0,1,0
FOCAD-AS1,52,27,13,7,16,6,3,7,20,14,10
SAPCD1,1,0,0,0,4,6,2,0,1,2,4
LMCD1-AS1,98,61,111,74,109,120,120,92,103,120,157
LINC01630,131,62,98,57,53,74,50,93,104,62,160
PRRT1,13,6,21,4,3,3,1,14,19,11,30
ZNF717,573,178,368,455,451,548,489,170,114,170,156
NEU1,105,193,189,169,228,211,234,131,165,139,184
LOC105375050,0,0,0,0,0,0,0,1,0,2,0
OR5V1,0,0,0,0,0,0,0,0,0,0,0
USP17L5,0,0,0,0,0,0,0,0,0,0,0
LINC01153,0,0,0,1,1,0,1,1,2,0,0
VWA7,10,3,9,5,4,6,9,11,2,3,5
IL21-AS1,11,0,7,2,0,0,0,1,6,0,0
TRIM15,4,6,17,0,0,0,0,5,3,3,1
PRR20D,1,0,3,1,0,0,0,0,0,0,2
WDR11-AS1,33,72,50,32,49,50,49,31,63,60,50
RNF39,0,0,0,5,0,0,0,0,0,0,0
LOC105376421,0,0,0,0,0,0,0,0,0,0,0
LOC101929006,0,0,0,0,0,0,0,1,0,0,0
PGCP1,0,0,0,0,3,4,0,0,0,1,0
LINC01688,0,0,0,0,0,0,0,0,0,3,0
MGAT3-AS1,85,40,103,59,122,99,86,67,129,138,221
MIR663AHG,17183,10175,18834,11949,14813,14220,10272,8049,12669,8224,11961
ST7-AS1,37,85,76,22,9,29,19,42,78,49,55
SPATA13-AS1,5,7,1,4,10,5,4,1,0,0,0
DHX16,103,188,154,97,183,128,187,167,82,194,73
IER3,344,146,234,20,34,103,119,87,102,88,108
WASH7P,118,36,350,222,142,102,67,440,430,428,629
SPANXB1,0,0,0,0,0,0,0,0,0,0,0
LINC00845,0,0,0,0,0,0,0,0,0,0,0
PSORS1C2,0,0,0,0,0,0,0,0,0,0,0
SMIM2-AS1,33,34,72,20,30,53,35,55,25,32,18
KLLN,102,128,107,61,30,45,53,57,76,56,59
LOC101928418,0,0,0,0,0,0,0,0,0,7,0
RNF5,313,225,553,395,448,452,502,637,692,749,753
LINC01364,2,0,0,4,0,0,2,0,1,7,7
LOC100505570,0,0,0,0,0,0,0,0,0,0,0
MSH5,134,53,57,81,68,86,61,68,89,63,82
NEU1,377,262,514,10,93,27,97,129,136,197,164
DDAH2,11,10,27,11,18,18,29,10,5,10,23
RXRB,391,455,705,616,599,643,679,959,1130,1017,1168
EHMT2,21,15,30,36,32,36,43,17,8,7,19
LINC00307,0,0,0,0,0,0,0,0,0,0,1
PARG,2057,1004,1702,3221,3503,3932,3769,1485,1278,1608,1574
RBM26-AS1,211,116,247,112,120,172,138,124,109,84,124
LINC00866,0,0,0,0,0,0,0,0,0,0,0
HLA-DRB4,0,0,0,0,0,0,0,0,0,0,0
TP73-AS1,2135,1082,1420,5455,6234,6296,5371,4053,4951,4214,5252
LOC102724601,62,115,125,62,35,70,68,66,100,118,147
DLG1-AS1,13,17,22,3,0,4,4,13,3,5,6
HPN-AS1,34,27,12,33,27,17,13,37,52,30,39
SLC39A7,215,167,211,589,635,561,613,305,298,382,373
LINC01806,51,129,164,33,13,33,16,65,31,37,54
ZMYM4-AS1,4,4,14,22,36,18,24,4,8,0,4
PCGEM1,11,3,3,1,2,0,0,6,3,3,0
MRPS18B,182,104,203,411,466,489,451,156,133,149,133
HCP5,0,10,3,0,0,0,0,0,2,20,0
CSE1L-AS1,16,14,13,7,22,10,15,5,1,4,4
TTTY17B,0,0,0,0,0,0,0,0,0,0,0
OR12D2,0,0,0,0,0,0,0,0,0,0,0
FGF7P6,89,42,126,22,20,37,20,26,23,32,43
LINC00310,69,59,87,55,72,67,46,50,41,54,70
TRIM40,1,0,0,0,0,0,0,0,0,0,0
SYNGAP1,30,7,64,121,201,163,108,59,60,25,8
LOC101927575,107,77,111,90,78,123,125,96,95,141,145
LOC101927139,0,0,0,0,0,0,0,0,2,0,0
LINC01537,439,325,593,159,193,219,214,338,450,318,424
AKR1B15,380,378,384,250,198,211,250,404,378,280,376
TRIM10,3055,7484,16382,44,144,47,90,7099,9585,7503,11475
STK4-AS1,81,11,44,17,31,24,17,40,27,41,9
CCDC148-AS1,0,0,0,0,4,0,0,0,0,0,0
NCAM1-AS1,3,0,0,0,0,0,0,0,0,0,1
GAGE12D,0,0,0,0,0,0,0,0,0,0,0
LOC102724009,12,0,6,11,11,10,4,11,0,15,0
SCAMP4,367,329,441,325,323,321,333,272,352,263,359
LINC01268,140,54,75,30,34,65,47,68,36,51,41
MUC21,2,5,9,4,1,3,2,1,3,2,5
LTB,0,1,7,0,1,0,1,0,0,0,0
LINC01624,0,0,0,0,0,0,0,0,0,0,0
LINC01442,21,30,7,10,27,14,2,17,13,7,18
LINC01483,44,25,40,25,42,47,35,29,50,69,72
DIAPH3-AS1,22,19,52,7,20,9,11,27,55,28,46
SLC2A1-AS1,372,686,1395,26,62,63,66,611,733,593,869
DNAJC9-AS1,170,89,166,53,109,129,142,52,73,58,90
LOC100506725,15,1,14,1,1,5,12,7,6,9,12
USP17L12,0,0,0,0,0,0,0,0,0,0,0
MIR4290HG,21,48,33,5,16,19,23,29,42,43,41
HCG14,6,5,19,0,3,1,0,3,4,4,5
LINC00376,1,17,4,0,1,0,5,7,2,2,7
NFKBIL1,32,22,48,27,16,20,44,17,44,42,62
APOM,6,3,12,4,8,2,3,1,0,1,2
ATP6V1G2,0,1,0,3,2,0,2,2,3,2,0
CNTN4-AS2,0,0,0,1,0,0,0,0,0,0,0
LOC101930114,0,3,7,0,0,0,0,0,0,0,0
LINC00243,8,1,0,0,13,0,5,27,76,23,51
PPT2,877,388,1036,187,287,265,99,643,816,511,1084
FRMPD3-AS1,0,0,0,0,0,0,0,0,0,0,0
CERS6-AS1,46,10,32,22,26,32,33,22,48,48,71
LINC01132,55,6,24,8,4,1,0,13,10,16,11
LINC01714,16,21,24,0,0,3,6,4,15,0,6
OR2W1,0,0,0,0,0,0,1,0,1,0,0
SOX21-AS1,25,2,8,345,406,341,366,46,51,56,41
AGPAT1,9,0,0,8,0,0,20,6,2,0,0
STEAP2-AS1,1,0,0,0,0,0,2,0,1,0,0
HCG9,0,0,0,0,0,0,0,0,0,0,0
CLYBL-AS2,7,4,18,1,2,6,8,0,5,0,0
LINC00355,40,46,83,44,55,42,58,59,67,63,48
LINC01068,1,1,0,1,2,2,3,8,0,0,0
VARS,48,42,26,521,637,491,407,69,62,70,81
HLA-A,514,837,1167,61,92,195,172,298,441,435,492
PPP1R11,94,124,137,76,92,79,129,55,105,126,91
RD3L,10,10,5,0,0,0,0,0,0,3,0
TUBB,12523,4695,12631,37,0,22,30,0,64,132,30
LOC729867,28,12,39,15,38,21,19,46,71,50,61
LINC01940,9,2,6,7,3,2,7,8,11,6,4
C4A,0,0,4,2,0,3,1,2,3,0,0
BAG6,60,58,144,206,248,364,192,238,278,330,355
MICB,160,14,44,55,145,77,44,103,51,71,170
ZBTB22,12,0,140,36,31,37,26,119,93,121,127
RPS18,74,52,58,102,148,230,233,22,53,4,11
COL11A2,0,0,0,4,0,0,0,10,25,4,25
PPP1R10,551,709,803,280,344,337,343,584,684,584,687
LOC101927358,2,0,0,1,0,1,0,0,0,0,0
FAM212B-AS1,22,43,16,1,0,0,6,10,2,2,0
TAP1,47,32,82,7,0,22,27,27,0,28,31
SLC9A7P1,59,51,25,11,19,8,14,25,40,19,55
HLA-DRB4,0,0,0,0,0,0,0,0,0,0,0
DPY19L2P3,153,81,98,182,158,293,260,54,96,53,130
LOC101929626,5,7,37,11,1,1,6,3,22,0,10
ZFP57,1,0,0,0,0,0,0,0,0,0,0
SAPCD1,1,0,0,0,4,6,2,0,0,2,4
TEX46,0,0,0,0,0,1,0,2,0,1,6
MRLN,58,46,80,31,26,60,31,94,88,68,119
C2-AS1,0,0,0,0,0,0,0,0,0,0,0
LOC105375009,0,0,0,1,2,0,0,0,0,0,0
MDC1-AS1,0,0,0,0,0,0,0,1,1,0,1
SNAP25-AS1,7,12,10,1,7,2,3,10,22,17,18
FLJ31104,41,143,148,30,49,44,30,42,79,49,117
LINC01655,0,0,0,0,0,0,0,0,0,0,0
MACROD2-IT1,0,0,0,0,1,2,0,4,0,0,0
SRGAP3-AS3,0,0,0,0,0,1,0,0,0,4,0
LINC01696,0,0,0,0,0,0,0,0,0,0,0
FRMD8P1,0,0,1,0,0,2,0,0,0,0,0
TARID,9,19,25,15,20,13,9,16,26,23,18
RBM15-AS1,44,35,28,45,54,89,62,40,68,55,44
LINC01429,20,24,25,7,17,14,2,23,41,15,29
HCG22,0,0,0,0,0,0,0,0,0,0,0
HLA-DRA,4,8,17,0,0,0,0,0,0,0,0
TRIM40,4,16,12,0,0,0,0,10,16,7,10
LOC101928101,19,19,21,14,7,15,24,38,18,11,16
RAPGEF4-AS1,4,11,0,4,6,0,2,7,3,0,5
LOC283038,86,67,98,25,25,39,22,70,106,84,78
HCG20,0,2,3,1,0,0,0,0,0,5,0
LOC100996583,0,0,0,8,7,7,0,0,0,0,29
LOC101927787,18,15,58,16,39,27,31,15,15,7,13
LINC00864,1,0,5,0,0,3,0,0,0,0,0
LINC01736,0,0,0,1,0,0,0,0,0,0,0
LOC101929516,104,154,158,62,72,67,98,42,72,33,88
LINC01740,1,20,12,0,0,0,0,0,0,0,0
BOD1L2,7,0,0,2,0,2,0,1,2,0,0
HLA-DRB1,0,0,0,0,0,0,0,0,0,0,0
IFNA14,0,0,0,0,0,0,0,0,0,0,0
MPIG6B,1,0,9,1,2,5,1,7,4,8,15
LINC01820,2,0,0,0,0,0,0,0,0,3,0
LINC01757,0,0,0,0,0,0,0,0,1,0,0
LOC102724017,78,8,4,94,106,93,119,53,22,19,22
MELTF-AS1,61,38,48,18,20,27,24,19,58,9,59
PPT2,76,110,15,12,0,5,20,114,4,50,36
FALEC,18,18,11,7,9,11,12,22,16,5,10
LINC01649,0,10,0,20,13,8,8,19,21,15,4
DDAH2,11,15,27,11,18,24,29,10,5,10,23
LOC105371485,0,0,0,1,0,0,0,1,1,0,0
LINC01494,6,10,5,7,0,6,0,4,16,15,29
LINC01402,2,0,0,0,0,0,0,1,0,0,0
LOC338963,27,15,11,11,1,16,11,5,5,21,16
CASP16P,66,46,83,40,52,48,52,49,56,78,61
HCG22,0,0,0,0,0,0,0,0,0,0,0
LOC101928733,38,39,24,36,32,48,38,65,65,39,51
LINC01674,0,0,0,0,0,0,0,0,0,0,0
HLA-DPA1,6,0,6,0,0,0,0,0,1,0,0
C6orf47,0,0,0,0,0,0,0,0,0,0,0
PRR3,60,10,68,96,82,65,83,62,74,48,37
LOC286238,2,1,0,0,0,0,0,0,0,0,0
OR2M3,0,0,0,0,1,0,0,0,0,0,0
RNF144A-AS1,137,295,236,389,429,451,479,660,588,605,699
C1orf143,4,6,3,2,12,2,1,12,2,0,3
NLGN1-AS1,0,9,0,0,0,0,0,0,0,0,0
HCG11,594,334,666,1247,1433,1656,1821,676,768,685,927
NACAP1,54,49,73,38,49,64,38,58,60,51,65
EFCAB14-AS1,33,38,18,17,21,10,18,15,12,16,29
TTTY17A,0,0,0,0,0,0,0,0,0,0,0
DDX39B-AS1,0,0,0,3,2,13,6,3,15,0,3
LY6G6C,0,0,1,0,0,0,0,0,0,0,0
ATP8,5861,1553,8377,2980,3170,3445,3473,1396,795,1245,957
HLA-DQB2,0,0,3,2,1,0,0,0,0,0,0
LINC01320,21,23,71,85,125,72,102,39,81,29,65
SLC44A4,7,4,15,2,0,1,2,2,1,0,1
RALY-AS1,123,108,68,12,18,25,6,24,48,27,34
C4B,1,3,5,1,0,0,0,2,3,0,0
ORM2,0,3,0,3,0,0,0,0,0,0,3
HLA-DQA1,1571,1176,1938,762,681,997,1076,1605,2051,1377,1737
PCAT6,29,9,17,1,0,1,0,0,0,0,0
TBX18-AS1,9,3,5,8,2,7,2,8,2,10,3
BMS1P17,30,41,8,41,4,32,19,7,28,38,2
TTTY4C,0,0,0,0,0,0,0,0,0,0,0
HLA-C,99,175,233,108,65,128,51,128,65,154,45
C19orf24,76,45,79,302,285,271,254,160,121,121,115
LINC01209,4,8,2,1,8,7,2,21,16,5,11
LINC01350,4,0,0,0,0,0,0,0,0,0,0
CYP4F29P,24,19,5,6,0,1,0,2,4,2,14
GUSBP11,474,617,1009,175,116,123,153,545,510,628,691
TNF,0,0,0,0,0,0,0,0,0,0,0
LINC01890,0,0,0,0,0,0,0,0,3,4,0
RXRB,14,16,28,19,15,19,14,34,40,51,49
MIR646HG,76,43,101,49,38,63,57,44,57,66,58
CELSR3-AS1,0,0,0,12,11,20,2,4,5,2,0
HSD17B8,23,8,15,36,29,34,26,24,24,28,23
LINC02263,28,18,30,24,25,15,32,46,12,19,19
TXNDC12-AS1,2,22,0,1,18,13,10,17,17,17,5
LOC105375009,0,0,0,1,2,0,0,0,0,0,0
GAS2L1P2,0,3,3,1,2,0,0,0,3,4,0
MAS1L,0,0,1,2,2,0,1,0,0,0,0
FAM197Y4,0,0,4,1,0,0,0,6,0,0,0
LOC101927534,0,0,0,0,0,0,0,0,0,0,0
LOC101929116,16,6,16,8,0,4,7,9,14,18,13
LINC01635,9,6,5,2,3,1,0,4,6,10,5
HSPC324,10,2,9,7,3,4,3,1,0,0,0
RNF5,5,0,1,19,28,26,2,12,27,45,18
TAB2,13,17,25,10,17,13,25,19,31,12,57
LOC100506885,18,6,2,8,11,7,6,7,24,16,11
LINC01185,5,3,3,3,0,2,12,3,2,2,2
LINC00687,12,3,24,5,2,1,0,3,6,1,5
VPS52,103,48,63,228,345,364,209,137,199,236,229
C6orf47,0,19,0,7,26,6,21,11,8,0,0
LOC105378663,159,186,407,31,36,22,41,23,62,56,82
TSTD3,216,93,223,190,218,202,207,192,186,177,142
SDAD1P1,660,556,881,197,156,275,296,473,608,629,683
C4B,0,0,4,1,0,2,1,2,3,6,0
LINC01546,2,0,0,0,0,0,0,0,0,0,0
OST4,1411,1528,2178,1765,1831,2056,1920,2291,2321,2873,2672
LOC105374580,0,0,0,0,0,0,0,0,0,0,0
LOC101927692,69,55,86,37,33,37,35,45,57,72,60
C2orf92,295,248,320,169,258,198,245,229,301,225,302
LINC01013,6,18,12,11,9,6,5,6,11,11,11
LOC100506405,0,1,0,1,0,0,0,0,0,0,0
LINC01760,0,0,0,0,0,0,0,0,5,0,0
MAS1L,0,0,1,2,2,0,1,0,0,0,0
CT47A7,0,0,0,0,0,0,0,2,0,0,0
RING1,162,27,85,146,100,230,156,159,197,273,182
MIR34AHG,168,155,242,21,37,50,31,55,29,39,44
CCDC183-AS1,93,15,28,27,39,33,8,45,36,44,27
VN1R4,0,2,0,0,0,0,0,0,0,0,0
MDC1,557,156,474,637,587,763,655,897,655,738,874
GNL1,196,58,222,365,333,372,402,214,200,276,262
TAP2,2,3,2,25,6,28,35,5,34,43,0
D21S2088E,87,140,179,64,57,103,93,217,326,235,277
FNDC10,10,4,7,32,16,8,11,2,0,0,0
MACC1-AS1,2,6,12,12,8,35,27,33,35,32,25
GPANK1,392,250,523,184,215,198,245,462,636,570,552
LOC100287049,40,72,121,30,22,33,26,66,84,101,118
CLDN25,0,0,0,0,0,0,0,0,0,0,0
ZNF883,3,5,1,10,5,20,9,17,19,7,21
HDAC2-AS2,79,41,181,75,63,37,90,71,112,69,91
ATF6B,62,50,123,44,42,50,115,74,56,66,171
HOTAIR,0,0,0,0,0,0,0,0,2,0,0
LINC02095,0,0,0,0,0,0,0,0,0,0,0
OR2W1,0,0,0,0,0,0,1,0,1,0,0
LINC01201,2,0,0,1,0,0,0,0,0,0,0
LOC105376527,0,3,7,4,1,2,0,0,3,7,3
MCCD1,0,0,0,0,0,3,1,2,0,1,2
PROB1,14,4,2,56,42,34,40,13,2,11,8
TTC3-AS1,17,4,29,58,43,61,43,13,7,19,19
NEU1,105,193,189,169,228,211,235,131,166,139,184
CES1P1,11,9,10,3,7,3,0,5,6,6,1
ARL17A,190,61,114,126,197,113,109,51,70,51,86
LOC101928565,97,80,83,71,110,94,125,103,80,75,151
TNKS2-AS1,25,23,14,2,1,4,6,1,6,3,0
LINC00659,0,0,0,0,0,2,0,0,2,0,0
LINC02575,8,4,10,0,0,2,0,0,0,0,0
HSD17B8,23,8,15,36,28,35,26,24,24,28,23
