gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
NXT2,1264,1227,1153,1322,1218,1209,534,708,429,632,638,675
GUCY2F,5,4,6,8,10,6,1,3,3,1,1,2
ATP1B4,12,6,4,8,13,13,7,7,7,11,9,2
MCTS2P,189,153,159,139,142,172,91,137,124,109,93,62
ALG13,2798,3031,3467,3367,3285,3234,3061,2971,2553,3079,3692,3449
PRPS2,2102,2040,2048,2035,1884,1817,734,790,859,932,844,681
TLR8,0,0,0,0,0,0,0,0,1,0,0,0
MOSPD1,622,598,626,588,750,667,930,857,754,648,694,721
AMMECR1,4683,4588,4746,4827,3727,3883,1701,2168,2194,1861,2139,1465
CHRDL1,2044,1853,2265,1674,1664,1916,15228,12513,800,714,16626,16936
WDR13,421,549,543,661,862,605,2451,2548,1964,2013,2704,2709
SUV39H1,1171,1096,1118,1364,1088,983,445,614,564,754,552,428
PAGE4,0,2,6,1,4,2,0,0,0,0,0,0
SRPX,222,279,312,189,259,220,2965,4773,1483,527,1337,2137
GLRA2,1,0,1,0,2,2,1,1,2,4,3,13
XIAP,1794,1885,1954,1799,2290,2686,2800,4251,3105,2607,3623,2868
STAG2,7287,7960,7840,8193,6914,7982,4254,5360,3982,5474,5457,5050
ATP11C,3656,3536,3865,3409,3186,3089,2137,2784,2253,2471,2346,2003
MCF2,42,42,66,46,84,78,25,27,16,19,23,20
F9,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,404,411,450,341,721,746,1367,1669,1353,1244,3338,2588
CCDC22,495,526,398,518,529,564,709,829,803,884,778,734
CACNA1F,23,28,26,13,14,13,2,5,23,8,18,7
SYP,564,539,429,594,359,305,156,128,84,118,110,117
PLP2,214,199,258,167,151,212,4295,4672,1285,128,572,2644
BMX,2,1,4,1,0,0,2,11,4,3,0,0
LUZP4,0,3,8,1,4,0,0,0,0,0,1,1
PLS3,19138,18456,17053,21212,15441,17574,32081,29735,30779,21501,24897,25174
