gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
OR7E10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX3A,95,175,55,65,141,158,79,188,102,155,158,181,86,140,94,130
BRD9P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10G4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MRGPRX11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10V3P,0,1,2,0,0,1,4,0,0,0,2,0,0,3,2,2
LOC105376654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HNRNPCP8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TRIM64DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAP1L1P1,1,2,0,0,3,4,2,1,1,1,0,2,3,1,1,2
TRIM53CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLULP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4D7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1G,17972,17983,13353,10180,19986,18033,13301,10282,19660,12486,13316,12648,11610,7841,13468,11463
LOC105375861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVINP2,0,1,7,0,1,0,9,0,0,0,3,8,0,0,8,11
LOC100289518,6,10,35,10,13,7,27,24,9,7,52,31,15,12,38,46
LRRC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
