gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
VN1R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOD1,120,176,117,44,222,244,141,81,158,101,125,138,38,123,151,104
EXOC5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM64,306,317,524,343,364,286,685,236,268,119,655,892,124,126,491,490
C3orf22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02363,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
OR5AZ1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRM4,5,0,9,21,3,1,13,19,7,23,53,63,0,16,96,53
OR51A9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHISA2,1,5,73,74,7,4,71,54,7,0,77,117,0,18,151,105
S1PR5,4,13,4,0,5,8,8,0,25,33,1,20,34,13,20,18
CLRN3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
SMG1P3,109,109,91,180,98,104,95,48,93,86,187,58,18,94,58,61
GPR157,244,312,243,155,335,246,202,145,161,62,171,185,79,258,238,237
PIPSL,10,11,14,7,18,23,32,34,20,0,21,13,1,5,22,13
CHST13,0,0,4,0,0,0,7,0,0,0,1,1,0,0,3,1
WDFY3-AS2,63,35,67,41,24,32,83,52,43,32,79,58,40,15,84,114
OR7E129P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC36A4,387,389,216,167,367,375,245,135,430,406,287,306,154,134,250,165
ZDHHC20,1216,1355,978,811,1594,1632,1385,632,1214,771,1140,1577,290,738,1037,833
ANKRD30B,0,2,0,0,0,0,1,0,1,0,5,1,0,0,0,3
OR51E1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZFP3,53,71,61,50,93,97,116,32,68,27,67,94,26,28,56,47
ARSJ,2052,2523,536,346,2461,2380,515,496,3125,1982,657,799,824,1594,764,610
HOXC9,54,39,10,18,37,66,44,2,46,7,24,18,66,19,24,14
MAP3K15,6,14,6,0,19,5,13,17,6,9,23,6,11,17,12,14
PPA1,895,1104,644,437,1149,1198,812,487,1088,740,822,983,512,355,961,722
HOXC10,206,159,182,161,142,146,182,84,233,233,250,290,133,158,347,307
PSMG4,170,168,131,138,217,218,175,159,261,166,185,262,257,76,183,195
BHLHE22,0,5,21,17,2,5,27,12,4,0,49,35,7,2,54,35
MAP6D1,51,76,134,114,116,83,166,165,62,68,115,135,12,70,103,108
CSNK1G2-AS1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF443,40,43,14,27,55,39,27,40,31,74,29,16,14,38,7,22
LINC01559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01555,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CXCR2,0,2,1,0,2,0,9,0,0,0,2,1,0,2,3,6
DEFB112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREM2,707,770,71,76,1043,897,115,37,625,365,80,46,361,300,55,18
C11orf42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSR4,2192,2157,2861,2658,2566,2241,3054,2557,2433,1898,3626,3606,2469,822,3867,2599
CAPS2,12,17,26,7,36,24,27,36,17,0,12,15,12,7,14,17
ZNF792,70,69,41,32,62,72,50,47,65,93,41,52,26,55,48,38
CUEDC1,785,660,640,765,770,741,727,625,853,457,883,748,194,474,721,571
SCRIB,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
KCTD2,620,787,709,551,751,750,770,519,834,444,751,886,358,611,882,638
D2HGDH,153,211,111,130,213,190,250,162,188,259,276,174,167,159,197,148
OR52B1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTTY11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR56B3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXTR,8954,12054,3335,2717,14063,14444,4133,2164,10849,6034,4254,4434,2521,4731,1752,1727
CMTR2,166,210,133,90,223,200,84,25,126,157,156,146,38,136,5,74
OR56B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E18P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR62,2,1,4,0,1,1,2,0,0,0,3,8,0,0,6,2
OR56A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF572,15,6,5,28,15,11,12,7,14,0,14,12,12,11,9,7
ST20,40,58,27,36,47,41,33,45,30,13,49,62,22,25,41,43
PITPNB,1101,1291,716,503,1374,1301,1007,483,1365,693,922,1048,545,658,1036,754
TCEAL8,976,813,524,477,945,951,591,318,1011,478,604,647,841,255,544,472
OR52E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC57,448,478,452,518,576,546,403,203,650,463,594,635,282,455,720,484
OR52N2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0
MRPL14,603,608,679,607,664,616,739,688,866,605,920,946,670,249,964,800
GPR137C,59,62,66,79,54,65,148,71,50,28,78,71,10,30,71,51
C1orf105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OR52N1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBS12,65,92,48,66,89,99,75,12,68,38,54,73,31,21,53,23
ZFP82,121,138,40,20,153,161,58,42,165,94,50,84,107,75,70,56
OR52N5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSMEM1,3,4,4,1,7,3,8,0,7,0,10,3,56,2,19,3
NQO1,4926,5225,6064,5645,5087,4863,6033,4499,6012,4067,6813,7422,3088,2463,6394,5021
OR56B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEN,1278,1398,1860,1685,1505,1360,2035,1504,1757,1174,2842,2903,781,1260,2858,2293
FKRP,694,724,423,285,897,829,460,309,831,503,640,596,392,821,534,402
TRAPPC5,431,510,295,420,503,466,414,295,610,362,480,423,528,167,363,340
RPH3AL,0,9,7,2,23,4,7,11,13,0,8,25,0,13,34,8
SLC25A42,107,243,151,169,166,175,156,148,299,77,209,201,92,113,193,173
FCRL6,0,0,0,0,0,0,2,1,0,0,0,0,0,1,5,0
METTL23,174,212,171,133,280,222,326,246,239,102,311,262,174,123,351,227
SLC26A11,306,290,365,344,308,299,305,218,292,177,451,423,143,254,331,281
HIGD1A,481,888,271,38,1285,1403,632,198,557,346,305,445,211,106,394,368
CHRM2,330,372,165,104,425,452,347,220,276,118,279,243,37,100,87,91
OR52N4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHMT1,901,742,421,337,768,756,569,390,847,742,577,1000,911,828,612,568
ADIPOQ,0,1,3,0,0,1,1,6,0,0,2,1,0,0,9,3
F2R,2488,2833,1741,1096,3292,2970,2324,1129,2409,1381,1535,1730,1472,1394,1273,963
OR52P1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107985579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLA-V,5,11,15,4,14,13,11,2,2,10,9,11,14,8,22,6
MUC16,0,0,0,0,0,0,8,0,0,0,8,8,0,0,8,0
NPM1,10161,11057,5799,4348,14304,14132,6687,3848,14070,9116,6825,7791,5179,4316,6602,5541
FER1L6-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJA1,377,453,323,135,416,333,414,351,415,321,662,529,221,263,504,491
DHTKD1,392,440,109,436,512,495,106,54,565,398,241,153,678,527,265,160
PENK,109,90,67,71,120,105,92,59,190,141,209,205,64,61,161,101
HECW1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8G2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4orf50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
H2AW,60,95,593,423,122,98,579,443,180,109,813,847,93,70,1145,932
ZNF746,499,532,561,642,535,459,564,433,614,219,711,802,276,420,745,760
POLR2A,7264,7887,24052,16955,7831,7463,22985,18249,9804,6194,25694,27697,2662,9780,29252,23339
TMEM132C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SLC25A41,4,2,1,0,0,0,1,8,0,10,3,0,0,0,0,1
MTHFD2P7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TLCD5,112,138,69,134,121,129,87,44,158,86,100,145,29,53,107,113
OR5AK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAT2,63,105,159,142,130,99,113,76,105,100,178,166,111,53,228,163
OR5AK3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM102,57,78,9,5,87,76,17,6,142,70,47,29,47,83,31,22
TMEM132E,3,13,67,9,4,5,47,47,1,4,53,26,0,8,64,102
ZNF322,322,363,206,215,436,476,238,162,329,317,217,352,154,141,230,218
NME9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
SPEM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9G3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEPHL1,0,2,2,9,1,0,0,0,2,0,5,0,0,5,9,19
LRRC75A,9,12,20,28,21,17,25,7,29,30,21,22,14,6,32,35
CTAGE10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP90AA6P,0,0,3,0,8,13,0,0,1,0,0,2,4,1,0,1
OR5M8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL13,0,2,2,2,6,6,5,1,2,9,16,3,0,0,6,5
CFAP65,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0
DDX60L,790,856,1155,897,754,1057,1150,599,1035,1116,1195,1419,388,827,988,735
SYNE4,0,2,0,0,2,5,3,0,1,0,5,3,0,9,3,5
OGFOD3,661,635,566,436,695,666,550,477,760,584,624,1006,303,485,882,649
WASHC1,85,125,124,106,136,87,141,73,133,124,177,143,89,75,186,109
UTS2R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATK,1,3,0,0,6,1,0,5,3,0,1,1,0,1,0,0
DDN,3,6,8,14,3,2,13,13,7,0,18,8,0,7,23,27
SAGE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZNF467,37,65,5,37,54,55,7,9,85,89,18,11,67,63,25,11
SOX2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZNF678,29,61,39,4,88,55,46,19,66,136,49,75,27,34,36,29
TMEM45A,532,702,786,399,811,814,1138,691,715,643,848,862,227,315,745,569
RAP2B,964,1254,1308,1076,1359,1513,1845,1163,1073,748,1580,1838,434,557,1335,1293
ZBTB2,472,558,416,440,609,675,568,432,576,421,545,567,214,414,620,462
RNF135,207,260,408,316,300,253,449,281,292,280,454,516,188,144,484,390
OR6T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACBD4,59,74,41,79,57,56,54,63,96,70,81,65,37,51,66,51
LOC643067,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OR8D4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGSH,1178,1139,1541,1304,1452,1309,1372,1179,1353,937,1536,1613,604,1090,1509,1185
RPL24P4,4,0,0,0,2,0,1,0,0,0,0,2,0,0,0,5
MAB21L2,0,0,17,5,1,0,23,30,0,0,18,21,8,3,18,18
FANCB,38,71,3,0,78,136,6,5,46,40,4,6,30,25,12,4
EDDM3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SETD2,904,1091,477,437,1198,1308,636,329,1296,1347,672,565,288,750,513,389
EDDM3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6orf223,0,0,4,0,0,0,2,5,0,0,15,0,0,0,6,3
TMIE,0,0,25,31,2,5,11,12,0,0,18,20,0,2,17,14
MEX3D,794,1021,358,280,1155,1148,421,213,1187,919,648,697,409,1104,738,663
OR52D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPS23,609,578,616,528,563,483,722,518,690,624,722,629,326,211,593,501
OR52H1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDCSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR135,37,38,43,43,34,31,56,21,49,31,73,89,10,39,82,54
SLX1B,119,70,42,16,9,73,66,9,265,100,92,120,191,105,94,42
ANKRD62,5,6,0,6,1,4,6,0,1,0,3,6,15,3,1,3
P2RY13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFSF15,12,28,225,85,21,30,179,96,38,25,297,385,25,71,474,390
ZFP41,250,264,138,311,273,222,200,107,286,186,290,313,112,364,296,233
ATG9B,16,6,4,0,2,1,0,2,23,0,2,1,0,9,19,0
GPR88,0,0,8,0,0,0,11,2,0,0,3,1,0,0,5,2
ZNF875,184,243,288,388,318,344,332,186,262,211,388,435,169,258,354,286
PLAG1,150,144,103,9,178,169,159,58,172,52,68,130,15,81,111,55
OR8H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIPF6,496,907,707,231,794,710,843,410,774,452,782,1006,390,404,799,742
ZBTB20,299,467,347,142,527,420,361,280,343,418,655,488,410,1044,474,411
OR2Z1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIPK2A,281,254,811,352,340,302,665,646,221,155,760,901,120,214,962,784
MACIR,1497,1708,271,187,1715,1597,296,181,1764,1048,404,374,442,807,267,229
OR8K5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGO1,136,148,169,127,133,138,216,202,150,109,242,307,18,111,212,181
OR8H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR3,82,59,52,39,106,75,56,60,130,30,167,174,30,102,297,267
TMEM252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OR5J1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODF3L2,0,2,11,0,1,0,3,0,3,0,4,0,0,0,5,9
OR5AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SIAH2,456,377,484,407,472,422,348,324,419,303,663,710,218,339,610,423
COPG1,7462,6919,5375,4924,8040,7388,5515,3864,7938,6890,5581,5707,5088,4643,4771,4007
ADGRB1,0,5,4,0,2,1,2,0,4,0,4,0,0,13,20,2
LINC00471,2,5,1,0,3,5,3,0,7,0,5,5,1,2,7,1
CELF2-AS1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
OR6S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC9A9,78,81,67,118,103,84,94,58,60,87,106,97,22,46,92,55
LSM10,353,403,298,233,447,368,330,271,409,305,434,356,279,186,295,293
RELL1,162,183,177,75,197,193,191,140,210,187,245,372,27,173,394,248
RFX7,297,392,471,314,401,387,496,242,368,306,442,566,26,411,540,356
SLC35C1,1077,1151,1063,926,1229,1160,1086,888,1292,815,1424,1248,573,906,1217,1151
OR5D17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGIT,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
RNF41,1036,1382,498,423,1264,1283,486,427,1498,903,711,570,313,859,385,409
SLC2A4,1,1,28,34,6,1,19,13,8,12,37,49,7,5,66,29
FTMT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IBA57,177,176,108,242,257,113,147,69,200,107,164,346,134,183,160,125
CLDN7,24,15,33,8,26,10,54,22,23,2,34,58,35,1,26,55
ZNF329,178,167,213,119,226,200,253,172,212,83,265,375,114,122,308,291
ZNF101,186,236,221,308,245,198,196,234,310,38,245,340,138,146,208,189
OR4C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5orf24,721,1213,489,267,919,913,630,216,1144,561,696,766,193,531,636,423
LINC02724,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0
ADO,448,677,928,640,831,821,1194,684,659,322,1146,1400,235,370,1334,1100
COA4,499,552,387,320,653,668,492,309,673,538,498,520,502,222,396,432
OR4P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAG1,1136,1276,751,773,1404,1436,1037,532,1111,1115,927,941,1051,486,727,620
GINS3,216,231,124,98,336,293,193,189,329,162,295,240,60,160,387,324
OR4C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A21P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A13P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OR52K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUROG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC149,321,360,199,150,341,374,215,135,471,302,331,279,211,238,262,230
GOLGA8CP,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
MRPS11,417,554,634,707,546,487,798,363,744,327,1063,1129,560,303,1147,1076
LINC00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNRPE,271,489,97,119,736,847,248,74,314,171,129,249,468,69,183,112
RTKN2,193,183,68,13,281,334,121,50,139,136,68,60,76,92,53,51
PNMA8A,69,64,53,31,61,59,57,52,59,34,63,89,29,40,52,46
LOC100996643,0,0,8,0,1,3,5,4,8,0,3,7,2,2,5,16
CHST15,357,362,629,761,437,418,782,518,403,368,594,876,171,304,775,668
ADIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USH1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM49B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
IDH2,1556,1487,1379,1196,1611,1537,1141,1050,2754,1868,3184,3521,1111,1252,3913,3431
OR52A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6B2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
TMEM259,2413,2704,3104,2276,2662,2418,2902,2066,3273,2192,3832,3965,1557,2071,3769,3245
GET1,227,279,111,78,291,289,120,57,307,127,133,97,73,69,77,57
TNRC18,2864,3150,3061,2473,2821,3222,2796,2012,3167,981,3066,3420,2303,3067,3076,2706
FAM181B,0,0,4,0,0,0,1,0,0,0,14,4,0,0,19,12
TMEM30B,6,6,7,0,8,3,3,14,6,9,14,23,0,20,14,13
DEXI,483,557,675,539,582,521,665,624,496,215,870,804,291,314,877,738
ZNF716,8,5,2,12,8,0,4,0,1,0,4,8,8,2,8,6
NOP10,1384,1380,821,673,1605,1502,905,530,1771,1046,1087,1178,1417,523,1085,897
FAM89A,114,144,270,259,199,190,239,144,119,283,289,347,57,84,444,318
KCNIP1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TDRKH,30,42,59,62,36,30,80,38,52,12,81,109,29,23,67,99
ZNF708,26,47,41,18,76,87,57,22,38,82,20,45,7,38,38,42
IST1,1376,1476,2062,1512,1776,1668,2062,1782,2012,1373,2196,2704,664,887,2319,1997
ERCC6L2,154,205,294,377,305,269,381,187,335,113,397,319,39,151,421,185
MRPL41,459,559,382,268,607,547,445,338,679,392,701,544,624,167,643,606
ENPP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREB3L2,4706,5554,3706,2457,6304,6112,4548,2646,5457,3108,4571,5204,1686,4086,4245,3181
P2RY8,0,1,2,1,0,0,0,0,0,0,0,3,0,1,0,1
UNC5C,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2
MRGPRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSEN54,100,115,158,290,143,159,185,203,157,179,249,236,211,106,337,253
RGMA,14,10,189,228,12,15,227,213,13,0,400,470,5,18,411,441
ASB18,0,3,2,0,10,3,0,0,2,0,3,13,0,10,19,2
UBA7,460,534,524,480,354,516,466,316,818,1147,962,1132,400,683,660,502
MRPS16,1085,1117,1073,743,1247,1120,1249,936,1323,916,1565,1520,836,757,1417,1234
SHISAL2A,3,1,3,0,5,3,8,0,5,0,10,1,0,2,5,8
RAD51B,67,76,48,44,76,76,23,18,91,24,22,13,60,52,51,43
CRYGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDOC1,541,600,833,678,616,606,822,646,575,256,764,766,405,359,787,657
ARL6IP4,1204,1344,1147,796,1494,1308,1285,960,1571,1074,1806,1876,1597,490,1943,1732
EXT1,9837,11098,4878,3246,11847,11223,5146,3359,9350,6275,5326,5814,2630,5518,5128,4383
SHMT2,2167,2077,1058,761,2147,2125,918,725,2869,2071,1401,1541,1134,1733,1293,1242
MOB2,209,284,412,391,345,312,389,256,422,276,543,673,175,168,665,530
HHIPL1,188,185,153,115,234,173,132,62,213,97,150,139,76,133,147,162
ATP6AP2,2641,2984,3263,2286,4003,3769,4079,2281,2829,2128,3109,4035,640,1195,3335,2612
ZAR1,0,0,1,0,0,0,3,0,0,0,9,18,0,0,10,2
CYB5D1,237,309,150,207,360,352,187,129,340,240,197,318,139,166,113,149
FAM153B,1,2,0,0,9,4,2,1,9,0,3,1,16,5,3,4
BACE2,1470,1675,2159,1747,1724,1629,2086,1438,1856,1371,2372,2577,800,1318,2750,2111
UBE2E2,298,311,129,118,388,447,175,84,244,188,111,99,298,108,106,79
SYNM,206,203,3103,2517,172,168,3036,2360,272,105,2902,3814,126,219,3073,2459
KCNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRG3,5,7,4,0,6,5,6,4,9,8,5,6,0,10,12,8
FIGN,147,91,41,39,213,204,152,77,80,323,32,43,24,44,45,51
IZUMO1,0,5,5,10,2,1,6,9,5,0,1,0,10,1,3,4
TMIGD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4GALNT4,257,111,13,54,114,146,13,104,124,209,68,38,36,144,34,31
AP1S2,341,482,401,439,552,632,702,314,340,318,441,630,109,143,589,435
C8orf33,928,761,906,803,679,640,1015,532,802,452,1275,1099,262,370,1128,1186
DCAF4L1,0,0,0,0,2,1,6,0,1,0,0,4,0,3,1,1
SPACA6,25,36,55,15,48,44,60,36,40,37,50,97,58,33,61,42
MBD3L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZSCAN22,136,141,155,129,160,154,178,106,134,109,188,143,84,173,168,197
KCNJ14,26,17,5,0,19,26,21,0,19,18,27,13,22,14,32,20
FBXL6,342,405,562,232,473,370,373,529,578,372,675,684,319,348,858,611
C1S,8107,9529,12543,9032,11506,11201,13836,9712,11639,7226,14429,17629,5220,6842,15012,11006
GLTPD2,0,0,6,0,0,0,2,2,1,0,2,10,0,1,3,4
KIAA2012,15,18,10,0,16,20,38,1,15,30,24,23,10,30,28,23
LIPF,0,0,3,0,0,0,4,0,0,0,1,1,0,0,0,1
OR5P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAOA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF804B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17orf77,3,0,0,0,2,1,2,0,3,0,3,5,0,3,3,5
KBTBD3,15,15,11,7,24,17,24,17,7,12,40,52,3,17,34,5
YBEY,104,149,104,51,196,167,148,86,149,114,158,176,134,36,179,113
OR5F2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM87A,0,0,2,3,0,0,3,0,0,0,5,25,0,0,8,6
CLN8,141,129,137,162,168,132,168,102,199,43,201,356,122,137,151,133
LOC339059,4,0,0,0,1,0,3,0,0,0,3,0,0,0,2,4
PLCXD1,468,620,395,309,729,523,365,422,979,356,565,512,567,892,624,637
NXPH4,88,71,194,112,85,84,159,184,134,99,295,347,64,85,326,272
RPL27AP5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CACNB4,8,7,5,8,3,4,13,0,3,0,15,5,14,5,11,12
IFNL1,0,0,3,0,1,0,0,0,4,0,8,8,0,0,0,1
DNM1P46,4,7,30,98,8,15,51,26,24,0,59,64,6,47,79,115
TRAPPC6B,239,308,369,228,356,386,397,268,382,291,355,463,264,185,511,428
PGBD4,64,75,37,33,75,91,79,51,44,2,69,88,30,54,98,41
CDY2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPLOC4,2347,3366,4341,3239,3164,3021,4072,2560,3646,3389,4915,5073,1541,3822,4876,4196
OTOL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK4,4,2,12,7,0,0,9,0,0,0,14,14,0,0,24,13
TEX19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
TSHZ2,10,3,8,5,5,3,4,1,0,0,6,0,0,1,4,8
CAPN12,3,7,3,3,5,2,3,8,4,0,5,5,9,4,3,6
EXOC7,2124,2601,5238,4489,2849,2613,4797,3852,2621,1968,5682,5806,2895,2227,5714,4997
OR2B8P,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KPNA2,6222,7216,2254,1910,7912,8119,3048,1793,8120,5339,2612,2720,3168,3705,3287,2600
WASH6P,215,252,281,233,335,321,331,327,350,268,469,380,301,287,375,361
NCF1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XKRX,3,7,11,12,2,4,13,0,11,25,8,4,0,8,14,16
BGN,15520,16422,14267,10942,17459,15766,13094,11696,20231,13101,18021,17920,8655,15215,16891,13990
CEP97,353,439,190,110,1152,453,280,175,464,373,306,326,76,351,329,258
LHFPL1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
FES,38,65,28,31,55,53,14,10,68,155,11,14,31,36,15,31
GLRX5,388,549,268,342,703,601,392,177,529,248,280,366,313,148,320,290
FAM104B,87,102,57,36,114,86,80,38,71,112,40,61,80,36,59,52
TBPL2,3,6,11,32,0,2,11,10,7,16,26,19,7,19,21,28
CAV3,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0
MXRA7,4585,5294,6834,5625,6022,5345,8174,5119,4821,3338,7276,7694,2852,2277,7146,5913
LIMK2,363,425,808,861,509,354,779,641,550,449,1072,1219,148,352,776,891
MFSD5,840,743,1122,994,829,791,1152,871,985,969,1471,1471,565,614,1441,1400
RNASE10,28,29,45,42,46,37,40,27,29,57,72,69,28,35,63,67
ADI1,1571,1827,1457,1154,1955,1728,1576,1168,2358,1483,1743,2077,900,850,2041,1667
RWDD4,309,406,153,145,520,488,329,99,393,271,248,201,184,152,250,199
SPNS3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
CLEC4G,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SATB1,52,32,95,136,52,44,62,76,28,109,156,144,91,43,78,46
CSGALNACT2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NXPH3,283,306,25,24,428,343,27,18,397,253,49,61,183,160,41,38
CSF1R,5,10,3,0,13,5,15,7,17,19,19,2,15,21,4,19
