gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
LOC339059,0,0,0,3,1,0,3,1,4,3
PLCXD1,1688,1636,2769,3273,2386,662,594,932,1660,2252
NXPH4,23,16,19,14,28,822,180,758,2177,359
CACNB4,103,60,90,77,105,42,61,109,327,88
IFNL1,0,0,0,0,0,0,0,0,0,0
DNM1P46,3,5,3,9,23,10,10,18,20,41
TRAPPC6B,765,647,652,707,753,437,457,774,1059,1080
PGBD4,59,49,81,68,45,37,44,73,96,89
CDY2A,0,0,0,0,0,0,0,0,0,0
NPLOC4,3888,2998,3643,3947,4163,1733,1740,2707,2584,4550
OTOL1,0,0,0,0,0,0,0,3,0,4
KCNK4,0,1,2,1,4,1,0,11,2,1
TEX19,21,18,16,20,19,1,4,1,1,7
TSHZ2,21,13,30,23,22,578,486,1393,861,927
CAPN12,41,38,163,62,50,56,65,19,3,105
EXOC7,2460,2031,3258,3170,2740,3097,3075,3608,3946,7856
KPNA2,11331,9363,15966,17895,13226,2586,3565,7140,6637,9954
NCF1B,5,0,2,0,4,9,0,5,2,3
XKRX,11,15,40,25,23,69,23,16,38,43
BGN,9054,5150,1418,1733,7767,3677,4252,5829,2494,16334
CEP97,216,718,540,492,407,168,255,517,993,504
LHFPL1,26,12,25,30,38,9,5,9,8,16
FES,207,224,237,305,330,379,300,333,98,771
GLRX5,1048,1011,1390,1564,1375,1084,1548,2024,1382,3079
FAM104B,162,134,158,211,170,347,399,432,359,741
TBPL2,1,1,5,3,4,1,6,9,10,8
CAV3,0,0,0,0,0,34,45,21,3,102
MXRA7,1159,1149,1073,1322,1157,4760,3434,5452,3701,8297
LIMK2,936,821,1679,1229,1264,1646,1009,1418,1844,2797
MFSD5,436,384,461,438,582,598,571,524,498,1257
RNASE10,14,21,30,29,26,13,6,13,29,26
ADI1,636,675,779,1066,887,903,1214,953,638,2059
RWDD4,494,441,624,692,695,573,655,1116,890,1350
SPNS3,2,0,0,1,1,16,18,12,17,33
CLEC4G,9,1,7,0,0,2,1,6,7,0
SATB1,420,428,647,816,785,597,978,1048,2038,1502
NXPH3,88,67,113,101,81,29,36,111,140,96
CSF1R,20,4,11,4,31,581,465,803,91,1123
EPHB3,153,282,165,173,57,1103,1265,1663,1111,3183
VCX,5,0,8,0,2,0,0,5,5,2
ACTL10,9,4,11,4,9,52,56,40,32,126
EPGN,2,0,0,1,0,21,4,1,1,6
LINC00334,2,1,0,1,0,1,2,2,1,8
KRTAP11-1,0,0,0,0,0,6,0,1,0,0
C2orf82,2,11,7,28,13,1275,36,13,43,111
HS3ST4,41,43,74,50,50,59,175,141,307,155
TRAK1,1175,1090,1368,1714,2140,1705,1404,2218,3835,3485
TSPAN10,24,20,30,15,35,88,117,49,107,187
OR2V2,0,0,0,0,0,0,0,0,0,0
PLCB1,252,139,232,394,316,234,204,743,1284,398
SKA2,1129,1041,1499,1665,1417,959,1446,2970,2733,2936
RXFP3,1,1,1,1,0,1,1,3,6,2
CCNYL2,3,6,5,1,1,3,0,4,11,8
OR10G7,0,0,0,0,0,0,0,2,0,8
NDN,737,820,695,1173,1293,3189,3236,4593,5658,6239
CCDC172,65,74,101,125,47,1,2,2,1,4
C7orf13,41,53,67,80,72,116,131,245,280,266
OR4Q3,0,0,0,0,0,0,0,0,0,0
NTM,151,124,215,272,268,219,403,1189,1469,1194
TTC3,1075,1368,2029,1798,1311,6498,7391,15416,26312,17338
KCNB2,12,11,6,27,25,38,33,82,209,56
PPP1R27,2,0,0,1,2,5,3,1,1,0
BRICD5,45,41,79,77,26,10,14,23,75,40
GALR2,10,3,4,11,14,9,8,2,2,7
RESP18,0,0,1,0,0,1,0,1,1,3
IGIP,71,48,23,38,20,128,113,66,105,230
TSKU,842,1138,1188,1222,1216,1553,1609,2006,1759,4422
CMC4,95,107,107,186,187,203,215,214,181,469
ANXA2,17525,15770,9334,14599,29306,26467,15061,15671,7286,37109
RGS6,11,11,22,16,15,63,39,47,65,51
HOXB4,29,15,5,10,30,119,79,446,479,424
SLC35D3,6,4,12,10,10,1,18,20,56,23
PAQR7,238,195,258,250,315,703,663,477,364,1706
PAPPA,97,360,323,88,194,280,139,313,311,1687
MAFA,14,19,10,14,37,77,78,30,84,71
NGRN,2321,2263,2869,3397,3348,3541,4480,6706,9909,8541
GRID1,19,16,23,24,10,134,121,431,411,414
RPS17,6177,5779,8542,10089,8371,17341,15682,15575,10705,25544
HCAR2,3,0,1,0,1,346,42,11,19,229
OR2T29,0,0,0,0,0,0,0,0,0,0
CCDC87,15,14,14,17,28,18,9,12,32,28
GSTA5,0,0,0,0,1,5,1,2,1,2
C1orf116,62,36,61,51,78,901,923,774,15,1404
TMEM198B,170,140,459,307,222,344,341,438,585,764
MAGEB17,356,519,706,929,212,3,4,6,5,15
CRIP2,102,171,102,175,282,1452,1052,2440,3895,2850
DDX28,309,285,579,461,593,201,280,276,240,578
KRTAP13-2,0,0,0,0,0,0,5,0,0,0
LINC01662,0,0,0,0,0,5,5,3,5,8
ACBD3,1140,1073,1218,1454,1448,1288,1271,1690,1662,3301
C16orf72,2622,2252,2657,2944,2532,1928,2136,2819,4033,5693
PLCXD3,64,101,304,78,31,75,654,368,208,507
RRP7BP,202,203,253,241,295,145,106,129,167,185
VMO1,2,3,5,4,1,34,45,25,30,40
OR4F15,0,0,0,0,0,0,0,0,0,0
ALG12,404,381,604,716,709,655,724,583,417,1595
LCK,494,386,495,506,676,122,84,46,5,108
GALNT9,59,19,23,25,7,79,220,177,98,285
COL18A1,10910,15474,12935,14747,24550,9261,5039,7566,5911,35396
RBM10,1925,2430,2877,3700,3465,1618,1951,1907,3243,4860
ADGRG3,5,0,3,5,2,8,2,17,20,15
GLUD2,133,107,150,77,108,63,109,53,25,170
TMEM95,0,0,0,0,0,1,0,0,0,0
TCHHL1,0,0,0,0,0,0,0,0,0,3
RPL35A,6542,6095,8712,10365,9406,22764,20816,20450,14252,30335
RGS7,14,9,31,19,9,43,54,202,312,131
SLC25A18,33,72,95,45,45,11,45,31,42,50
ZNF721,824,585,1306,1027,1066,361,665,513,844,743
TCEAL7,189,168,291,322,447,428,1071,2818,2749,2241
C11orf54,307,264,368,414,323,349,628,496,585,1218
CEP63,393,335,493,629,518,706,577,1038,943,1305
WFDC10B,3,2,0,4,1,4,0,1,0,4
SRPRA,2090,1805,1945,2100,2356,2054,2430,2802,2022,5554
OTOP3,1,0,3,0,0,3,0,0,0,5
EWSR1,6333,6452,10468,9170,8422,3791,5707,8247,8158,12536
ODF3L1,0,0,0,0,2,29,16,9,19,59
HMGN4,844,848,1350,1555,1151,568,697,913,1084,1599
SPATA13,583,589,1059,854,1143,381,568,1127,2492,1607
GJC1,1808,1401,2376,2713,3441,643,774,1701,1873,2432
SOX1,7,2,1,10,0,90,119,541,1785,843
CNOT10,894,696,1356,1239,1237,702,540,970,856,1699
MTA1,2058,2213,3428,2934,2035,1270,1451,1666,3148,3525
ZNF662,1,2,6,0,2,9,7,5,4,11
CADM1,837,712,1374,801,1533,1904,1286,2898,5037,5215
ZNF320,477,681,787,1103,598,355,398,429,858,984
C12orf60,30,34,68,85,57,34,51,57,55,60
PYCR1,1498,1362,2014,2129,1454,2082,2008,3014,2586,7339
NAA38,227,201,209,292,226,1042,1142,1281,897,1829
SPNS2,42,14,109,32,19,850,228,194,597,1095
MCEMP1,2,0,0,0,0,0,0,1,2,7
AP2A2,744,673,894,1353,1096,1389,1045,1176,1666,2489
SLC8A1,112,86,110,79,91,90,372,788,1124,857
OR1G1,0,0,1,0,0,0,0,1,0,0
SLC25A21,145,88,211,100,124,51,41,85,47,100
OTOP2,0,0,0,1,0,6,13,6,0,0
CYLC1,0,0,0,0,0,0,0,0,0,0
PCP4,2,6,17,4,5,94,724,329,264,99
ABAT,183,160,439,261,136,1009,1634,2562,5999,3300
SLC25A10,523,419,478,680,654,617,748,642,389,1778
CAMK1D,144,173,250,238,140,975,819,957,2054,1126
RGPD5,1067,761,1202,1692,709,622,1071,947,1565,2073
LYSMD4,188,148,261,257,278,247,278,293,416,674
WBP2NL,5,4,5,0,4,4,2,17,1,12
IGSF5,8,18,13,16,19,10,35,25,36,33
NKX2-5,2,2,3,0,4,5,4,3,11,13
AFMID,289,246,478,451,390,416,395,318,353,882
GAS6,388,480,650,500,393,1821,1913,1512,1523,3522
FREM3,1,1,14,1,14,2,37,15,5,45
NEB,112,83,131,105,47,272,4219,281,128,4636
BEGAIN,43,30,72,48,34,108,72,238,315,228
GPC6,858,1242,639,1982,1657,1439,2119,3615,1546,6202
ARHGEF37,6,35,5,35,48,209,183,186,149,166
FAM43B,16,26,7,55,41,99,129,201,234,171
CSMD1,34,12,66,44,25,42,109,94,368,68
CALHM3,3,2,3,9,8,4,1,3,1,2
