gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
SNORD114-17,0,0,0,0,0,0,0,0,0,0
RNA5S2,0,0,0,0,0,0,0,0,0,1
SNORD115-48,0,0,0,0,0,0,0,0,0,0
SNORA14A,1,0,0,0,1,0,0,0,1,0
RNU6-7,2,3,4,3,4,4,7,3,5,5
SNORD113-4,0,0,0,0,0,0,0,0,0,0
SNORD32A,0,0,0,0,0,0,0,0,0,0
SNORD115-15,0,0,0,0,0,0,0,0,0,0
SNORD114-29,0,0,0,0,0,0,0,0,0,0
SNORD113-3,0,0,0,0,0,0,0,0,0,0
SNORD52,0,0,0,0,0,0,0,0,0,0
SNORA5C,5,1,5,9,3,0,3,1,4,0
SNORD117,0,0,0,0,0,0,0,0,0,0
SNORD48,0,0,0,0,0,0,0,0,0,0
SNORD115-1,0,0,0,0,0,0,0,0,0,0
SNORD114-3,0,0,0,0,0,0,0,0,0,0
SNORD114-24,0,0,0,0,0,0,0,0,0,0
SNORD115-38,0,0,0,0,0,0,0,0,0,0
RNA5S15,0,0,0,0,0,0,0,0,0,1
SNORD115-10,0,0,0,0,0,0,0,0,0,0
SNORD113-9,0,0,0,0,0,0,0,0,0,0
SNORD115-20,0,0,0,0,0,0,0,0,0,0
SNORD115-35,0,0,0,0,0,0,0,0,0,0
SNORA23,3,0,4,14,0,0,1,0,0,0
SNORD38A,1,0,3,6,2,0,0,1,1,4
SNORD114-20,0,0,0,0,0,0,0,0,0,0
VTRNA1-2,0,0,0,0,0,0,3,0,0,0
SNORD114-18,0,0,0,0,0,0,0,0,0,0
SNORD115-31,0,0,0,0,0,0,0,0,0,0
SNORD113-1,0,0,0,0,0,0,0,0,0,0
RN7SK,0,78,0,0,0,0.00E+00,0,0.00E+00,0,0
SNORD14C,0,0,0,0,0,0,0,0,0,0
RNA5S16,0,0,0,0,0,0,0,0,0,1
SNORD115-44,0,0,0,0,0,0,0,0,0,0
SNORD114-12,0,0,0,0,0,0,0,0,0,0
SNORD114-22,0,0,0,0,0,0,0,0,0,0
SNORD6,6,1,5,2,2,0,0,0,0,0
RNU6-8,2,3,4,3,4,4,7,3,5,5
RNY3,0,1,1,1,0,0,0,2,2,0
SNORA62,1,0,1,0,0,0,0,0,0,0
SNORD115-43,0,0,0,0,0,0,0,0,0,0
SNORD82,0,0,0,0,1,0,0,0,0,0
SNORD115-36,0,0,0,0,0,0,0,0,0,0
SNORD34,0,0,0,0,0,0,0,0,0,0
VTRNA1-3,1,0,0,0,0,0,0,0,0,0
RNA5S7,0,0,0,0,0,0,0,0,0,1
RNA5S13,0,0,0,0,0,0,0,0,0,1
SNORD18B,0,0,0,0,0,0,0,0,0,0
RNU4-2,0,2,0,0,3,0,4,2,2,4
MIR539,0,0,0,0,0,0,0,0,0,0
MIR421,1,1,3,3,0,0,0,2,3,0
MIR146B,0,0,0,0,0,0,0,0,0,0
MIR582,0,0,0,0,0,0,0,0,0,0
MIR488,0,0,0,0,0,0,0,0,0,0
LOC100128531,2,4,4,3,0,9,7,9,6,14
ZNF525,564,469,673,844,596,382,348,345,216,523
LINC01317,2,1,1,2,6,1,0,1,0,1
LINC00449,4,8,13,17,10,4,6,8,8,6
SLC44A4,3,0,1,0,0,0,0,0,0,0
INF2,1704,1525,1771,1846,1875,1337,1313,1711,1088,4339
FAM83H-AS1,17,12,14,5,22,112,26,17,10,85
LOC101927447,2,2,0,1,1,1,0,0,4,0
OR1F2P,0,0,0,0,0,0,0,0,0,0
LINC02408,0,0,1,1,1,1,0,6,9,2
LINC00970,17,17,36,38,22,12,3,4,8,1
GP1BB,5,7,5,0,12,124,0,0,100,0
C6orf47,27,0.00E+00,71,31,90,46,108,58,77,214
MRPS18B,115,96,140,153,177,168,156,172,147,336
LINC00501,1,0,1,1,0,16,17,6,0,31
LINC01285,3,3,7,5,3,3,4,14,6,9
OR2T5,0,0,0,0,0,0,0,0,0,0
OR2L2,0,0,0,0,0,0,0,0,0,0
EFCAB2,124,117,231,201,142,145,176,320,223,425
COX20,543,482,581,759,716,786,1113,1482,1549,1488
CHML,1848,1542,2793,2496,2581,806,730,1986,2515,2161
IBA57-AS1,0,0,1,1,0,1,1,6,1,0
STUM,27,95,42,33,42,73,98,346,364,42
LOC441178,0,0,1,4,0,18,36,41,56,38
TCP10,9,0,2,11,2,1,19,2,4,17
CAPN8,3,2,0,2,3,15,29,31,5,12
TATDN3,213,220,276,308,275,124,150,242,378,376
SERTAD4-AS1,17,25,11,35,81,32,19,61,43,58
MIR29B2,553,1,9,3,1,3,5,34,30,2
CR1,11,4,7,12,16,12,17,85,10,69
LINC00862,28,19,17,23,34,2,2,4,1,8
RAET1G,0,1,0,0,2,19,5,0,0,17
C1orf53,18,11,11,20,17,56,55,60,83,131
SAMD5,68,77,127,64,60,700,899,1202,1031,1994
LINC00272,0,0,0,0,0,0,0,0,0,0
TEDDM1,1,0,2,0,1,2,0,0,1,2
ECT2L,5,3,5,7,6,93,13,9,15,16
GPR52,0,0,0,0,0,0,1,0,9,3
LOC101928673,16,14,21,8,19,16,11,17,12,37
METTL11B,3,8,6,10,2,1,2,0,0,11
FCGR3A,0,1,0,0,0,164,76,654,26,671
TMEM244,0,0,0,0,0,0,0,0,0,0
OR6K3,0,0,0,0,0,0,0,0,0,0
CENPW,529,521,603,722,768,266,399,488,772,760
SPRN,29,29,87,47,35,149,178,270,670,295
FAM229B,111,101,163,196,148,533,477,728,673,620
FANK1,14,16,20,23,17,142,113,73,62,141
LOR,0,0,0,0,0,511,4,2,3,0
PRR9,1,0,0,0,1,0,2,0,0,5
LELP1,1,0,0,0,0,0,0,0,0,0
SPRR2E,0,0,1,0,0,7,7,1,0,0
KPRP,0,0,0,0,0,0,0,0,0,0
EEF1AKMT2,348,337,497,640,488,412,439,663,668,784
FAM24A,0,0,0,0,0,0,0,0,0,0
DDO,0,0,0,0,1,6,14,4,2,2
CCDC162P,19,17,29,22,6,6,11,4,10,44
LINC00222,2,0,2,2,0,0,0,3,0,0
ADAMTSL4-AS1,0,5,0,1,0,4,1,2,0,7
PLPP4,4,15,7,5,4,71,125,161,63,216
BVES-AS1,3,0,0,4,0,4,1,11,5,11
LIN28B-AS1,7,8,16,10,19,0,2,11,30,15
HIST2H3C,10,16,5,15,14,10,10,13,46,9
HIST2H2AA3,200,131,55,9,5,170,76,12,16,0
HIST2H2BF,15,38,15,33,24,53,25,24,41,58
HIST2H2BC,27,60,38,58,29,14,22,28,51,81
PNLIPRP3,0,0,1,0,0,0,3,1,0,0
HIST2H3A,10,16,5,15,14,10,10,13,46,9
HSD3B1,1,0,1,2,2,4,4,4,4,27
HSD3B2,1,1,0,0,0,4,3,3,3,21
ATP1A1-AS1,15,18,22,29,26,46,60,67,60,103
RBM20,35,39,44,39,41,37,42,123,75,160
SMIM9,0,0,0,0,0,0,0,0,0,0
C6orf163,10,16,31,21,18,27,13,16,34,35
SNHG5,2213,1992,2807,3100,3507,4336,3609,2711,1815,4984
RIPPLY2,4,1,6,8,2,2,2,8,28,0
CHIAP2,2,4,1,1,1,8,0,3,3,0
GDI1,1920,1738,2286,2330,1681,2220,2413,8165,13263,6059
PCMTD2,853,571,1201,1167,739,861,1224,1553,2281,1704
SOX18,11,8,6,10,9,54,51,210,25,187
CYP17A1-AS1,0,0,0,0,0,0,0,0,2,0
LIME1,22,37,81,37,33,56,27,23,73,78
SPATA42,0,0,0,0,0,0,0,2,0,0
LOC100130587,0,0,3,3,0,0,7,1,10,5
OOEP,0,0,1,0,0,0,1,0,0,1
KHDC3L,0,0,1,0,1,0,4,2,2,1
DPPA5,6,2,5,1,1,0,0,0,1,0
C1orf146,0,1,0,0,0,0,0,0,1,0
SPANXN1,0,0,0,1,0,0,0,0,0,0
SPANXC,0,0,0,0,0,0,0,0,0,0
LINC00632,11,19,12,7,17,28,7,20,85,34
CXorf66,0,0,0,0,0,0,0,0,0,0
C10orf62,0,0,0,1,0,2,1,0,0,1
SAMD13,14,13,25,29,17,145,156,177,138,139
RTL8A,452,411,480,687,681,1023,1100,1617,1918,3025
CCDC160,37,39,108,99,38,42,86,65,82,64
C1orf141,2,0,2,2,1,2,11,8,1,2
EFCAB7,76,63,61,87,71,113,108,256,300,269
DEFB110,0,0,0,0,0,0,0,0,0,0
GLYATL3,0,0,0,0,0,5,1,3,0,0
LDLRAD1,0,1,0,3,1,517,33,22,3,156
LOC100133077,1,8,5,4,0,0,0,2,2,2
RHOXF2B,0,0,0,2,2,1,1,3,2,0
ARRDC1-AS1,159,204,319,381,276,130,214,273,345,466
ZYG11A,74,74,152,143,76,29,24,12,11,95
LINC01270,15,12,44,28,12,0,7,34,15,44
LCN8,0,0,1,0,0,0,0,2,0,0
LCN6,0,0,0,0,0,0,0,0,0,0
C1orf185,0,0,0,0,0,0,0,0,0,0
GLT6D1,1,1,0,0,0,0,0,0,0,0
IFIT1B,0,0,0,0,0,0,1,1,1,0
COL5A1-AS1,0,1,0,1,0,5,1,4,0,6
CT83,0,0,0,0,0,0,0,0,0,0
LIPN,0,0,0,0,0,10,2,1,0,2
LIPK,0,0,0,0,0,6,1,0,0,0
LIPJ,31,22,6,8,18,10,14,8,10,34
TRPC5OS,0,0,1,1,0,1,0,0,0,0
LRIT2,0,2,1,0,0,0,5,0,2,2
SLC12A5-AS1,18,38,17,31,31,15,6,18,14,16
LRRC73,32,14,9,12,17,90,117,79,185,110
FOXO6,0,0,0,33,29,71,26,129,240,116
TCEAL5,11,3,7,3,17,42,216,76,143,311
SYS1,608,470,467,578,853,878,949,726,950,1737
TCEAL6,1,2,1,0,0,1,2,3,53,1
INPP5B,547,414,805,676,543,234,339,402,542,618
RPA4,0,3,6,6,2,0,1,2,1,3
TDRG1,3,4,20,6,1,0,3,4,4,4
NEU4,1,3,2,2,3,27,72,12,11,122
MAFB,72,35,42,35,76,1350,554,616,554,993
TRAF3IP1,382,393,463,452,581,540,287,610,726,806
CHIC1,283,257,323,383,281,224,212,227,299,367
LOC100287792,1,1,6,3,1,2,2,3,5,10
NAP1L6,79,75,149,170,142,17,40,18,44,35
GIGYF2,1849,1652,2234,2531,2394,1430,1803,2320,3073,4183
C2orf72,44,26,122,78,47,996,3049,1762,263,4110
RUFY2,248,170,338,322,277,225,228,631,1073,435
NHSL2,195,211,302,359,362,378,250,477,277,960
GGTA1P,29,17,11,8,24,133,117,438,14,237
PHACTR4,1121,1015,1444,1510,1312,1010,1024,1655,2163,3319
CLPSL1,0,0,2,0,0,0,0,0,0,0
ASAH2,190,159,261,225,220,101,169,167,261,370
AGAP4,86,96,291,175,63,58,16,94,240,124
TIMM23B,137,173,370,258,249,110,108,244,283,380
ZDHHC18,875,859,983,1076,1126,560,601,817,1119,2131
C10orf128,1,0,1,0,0,5,11,26,7,82
CXorf65,2,3,4,0,7,2,6,4,1,18
AGAP9,38,37,154,73,43,38,30,65,106,102
LRRC37A5P,3,3,1,4,1,4,1,3,3,3
NPY4R,0,3,2,3,0,0,34,23,1,54
GPRIN2,153,146,488,253,229,238,511,377,350,854
SYT15,44,34,61,52,42,161,122,331,123,398
BMS1P5,72,107,275,168,70,68,75,102,253,203
TMEM57,1054,685,620,687,1048,700,979,1663,1855,2386
PTPN20,7,7,6,2,5,2,8,4,5,8
ZDBF2,143,179,256,317,143,96,216,186,614,290
LINC00619,0,0,0,0,0,0,0,0,0,0
GGNBP1,4,2,8,3,2,0,1,8,0,0
TXNDC8,0,0,0,0,0,0,0,0,0,0
AWAT1,0,0,0,0,0,2,0,0,0,0
KIFC1,1130,1345,1885,2589,1545,483,931,1337,1361,2208
DAXX,118,81,89,109,132,88,5,217,107,59
BMPR2,1106,996,801,1113,1092,2245,1989,4453,5515,6241
TCEA3,13,17,22,9,10,344,385,394,76,515
PFDN6,145,123,165,199,180,102,114,112,122,197
WDR46,269,308,428,476,338,273,243,281,136,458
RING1,48,49,70,69,51,122,99,307,299,231
HSD17B8,11,10,11,11,9,73,73,55,28,141
RXRB,3,2,9,3,2,1,0,2,7,5
OXLD1,237,206,266,346,325,236,249,232,305,516
LOC100128239,9,5,10,13,12,30,27,36,49,31
OR13C3,0,0,0,0,0,0,0,0,0,0
COL11A2,4,3,45,18,14,1190,20,26,20,76
LINC00587,0,0,1,0,0,0,0,0,0,0
HLA-DOA,210,106,331,181,196,36,47,51,42,96
BRD2,996,1175,1577,1430,974,769,970,1220,2194,2108
HLA-DMA,1,9,4,3,0,0,2,3,4,0
PSMB8-AS1,0,1,1,2,1,2,2,4,0,16
COL5A2,5092,4913,1397,3287,8186,17470,15499,38147,16346,72661
PSMB8,11,13,17,11,18,39,42,41,2,106
TAP2,112,71,177,86,225,53,20,127,39,80
SPIN3,166,177,465,237,159,183,214,325,617,354
LINC01993,1,0,4,1,1,4,8,7,10,17
TMEM235,0,0,1,0,0,0,4,10,10,59
PAGE3,0,0,0,0,0,0,0,0,0,0
TNRC6C-AS1,35,49,61,55,45,149,41,36,33,156
LINC01973,0,0,0,0,0,0,2,0,1,0
HLA-DRA,0,0,18,0,0,0,0,0,0,29
BTNL2,0,0,0,0,0,0,1,3,0,0
COL15A1,52,32,45,53,47,8400,3347,13133,5169,31749
OR8B2,0,0,0,0,0,0,0,0,0,0
C6orf10,0,0,1,0,0,0,0,0,0,0
TMEM225,0,0,0,0,0,0,0,0,0,0
NOTCH4,3,2,3,5,3,12,12,29,27,25
PBX2,844,609,892,1488,500,1060,809,701,995,1949
AGER,3,2,8,12,6,3,3,4,6,2
RNF5,124,127,205,193,201,242,305,363,468,578
AGPAT1,1829,1859,2535,2603,2751,1985,2468,2898,3613,5916
DFNB59,8,9,52,19,14,31,20,33,52,27
PRRT1,3,2,2,2,3,2,4,9,18,12
FKBPL,80,73,82,88,77,86,104,102,94,208
MRPL38,1019,761,928,1221,1211,730,849,698,809,1406
SMIM5,1,3,6,1,2,145,109,39,20,67
ERICH2,31,77,18,94,58,59,48,30,16,67
SP5,456,1196,103,1103,2155,87,213,264,376,212
CYP21A1P,1,0,2,2,1,0,1,2,0,12
STK19,68,61,89,41,108,160,198,222,147,328
CD300LD,2,1,0,0,1,0,2,3,2,1
BTBD17,13,11,50,26,20,130,648,518,1234,473
DXO,39,66,118,128,41,48,104,30,276,274
SKIV2L,26,47,112,36,68,62,21,43,63,157
C9orf129,50,56,50,95,106,6,7,11,26,13
NELFE,544,513,645,799,746,965,841,973,799,1895
CFB,0,0,1,3,2,0,0,1,0,0
NXPE2,0,0,0,0,0,6,3,1,0,0
LOC400743,0,0,0,0,0,0,0,0,0,0
SPANXN5,0,0,0,0,0,0,0,0,0,0
C2,2,5,2,3,5,19,36,21,4,60
ZBTB12,73,39,198,147,64,143,141,250,358,226
SDHD,1390,1329,2139,2593,2271,1160,1483,1620,1073,2538
EHMT2,31,25,56,31,22,52,46,54,70,87
XAGE1E,0,0,0,0,0,0,0,0,0,0
PKP4-AS1,1,0,4,1,0,6,3,5,6,6
LAYN,269,175,196,93,199,328,216,246,137,882
XAGE1E,0,0,0,0,0,0,0,0,0,0
SLC44A4,1,0,0,0,0,2,1,3,0,5
NEU1,108,119,197,186,158,235,240,162,118,578
C6orf48,96,89,226,162,87,648,645,765,499,1162
HSPA1B,1,0,0,0,0,63,0,0,0,0
HSPA1A,11,0,3,3,0,48,7,0,0,7
HSPA1L,51,44,0,0,1,0,0,0,0,0.00E+00
LSM2,147,132,183,226,241,162,200,220,181,348
LOC149950,0,0,0,0,0,0,0,0,2,2
VARS,34,46,55,62,40,32,16,23,15,15
VWA7,4,3,4,3,3,25,27,9,5,38
CARD16,1,0,0,0,0,43,49,82,4,138
CASP12,8,8,3,0,12,10,11,7,0,13
MBD5,408,413,308,465,442,403,425,468,821,1078
MSH5,30,15,75,69,14,41,15,42,63,93
CSHL1,0,0,0,0,1,0,0,0,0,0
MPIG6B,0,0,2,0,1,0,0,4,7,0
LY6G6C,0,0,1,1,0,0,1,1,1,3
LY6G6F,0,0,0,0,0,0,0,0,0,3
ABHD16A,5,7,24,28,5,0,14,12,5,1
LY6G5C,0,2,5,9,12,22,38,19,28,28
CSNK2B,2,9,7,9,17,0,2,1,3,2
GPANK1,69,58,93,113,103,78,92,90,116,185
C6orf47,0,0,0,0,0,0,0,0,0,0
FAM155A,140,122,272,164,156,123,177,543,739,254
APOM,5,4,15,9,6,20,16,32,27,54
TRIM49C,0,0,0,0,0,0,0,1,0,0
TRIM64,0,0,0,0,0,0,0,0,0,0
LINC01854,0,0,0,1,1,0,0,2,0,4
BAG6,1084,1044,1151,1459,1443,1034,1083,1331,1869,3811
PRRC2A,15,6,99,14,22,110,88,135,112,58
AIF1,0,2,6,4,3,44,26,51,1,73
NCR3,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,1,0,0
PRAMEF19,0,0,1,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0
LST1,0,0.00E+00,0,0,0,30,13,10,0,16
LTB,4,2,0,0,3,1,1,2,0,5
TNF,0,0,0,0,0,1,0,0,0,0
NFKBIL1,0,0,0,1,2,0,0,0,1,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0
MCCD1,0,0,0,0,0,0,0,0,0,0
ZNF814,508,446,1166,904,563,335,366,337,499,924
MICB,67,40,56,79,58,0,0,5,3,10
AADACL4,0,0,1,1,0,0,0,0,0,6
ZNF551,479,498,1175,910,986,227,326,462,661,756
MICA,1,0,0,3,4,0,1,0,0,0
ZNF805,53,53,56,58,55,42,67,64,100,217
HLA-C,4852,5017,6911,6462,8174,6641,7898,7602,3520,20769
PSORS1C3,0,0,0,0,1,0,0,0,0,0
POU5F1,19641,18521,22455,31904,37806,19,975,27,25,560
CCHCR1,622,630,1152,1247,921,618,601,869,598,1315
PSORS1C2,0,0,0,0,0,0,1,0,0,0
CDSN,0,0,0,0,7,0,10,10,0,0
PSORS1C1,24,36,13,28,39,45,19,50,18,65
C6orf15,0,0,0,0,0,1,0,0,0,0
MUC21,0,0,0,0,0,59,21,0,0,1
DEFB122,0,0,0,0,0,0,0,0,0,0
DEFB121,0,0,0,0,0,0,0,0,0,0
DHX16,172,169,249,250,215,111,117,132,167,281
C6orf136,78,38,44,46,52,37,81,56,54,37
MRPS18B,116,96,140,152,177,165,156,172,147,330
PPP1R10,226,227,311,320,320,147,177,253,395,493
KRTAP5-11,9,2,15,6,3,1,0,0,2,2
KRTAP5-10,0,1,0,0,0,1,0,0,0,0
ABCF1,200,70,373,470,477,66,266,128,110,308
PRR3,1,1,1,2,2,1,1,1,1,3
LILRB3,1,0,0,1,0,7,3,4,1,40
DDR1,486,471,1085,760,599,761,499,603,1946,962
ACOXL-AS1,3,8,13,1,4,7,6,8,11,13
LRCOL1,1,0,2,1,0,5,0,3,7,6
FLJ45513,5,1,11,1,2,2,2,1,1,5
LINC01123,32,25,36,38,39,234,741,439,171,877
GNL1,405,213,192,303,369,327,308,301,233,457
HLA-E,4,0,16,10,25,60,40,34,9,134
DPRX,0,0,0,1,0,0,0,0,0,0
TRIM39,3,3,2,1,4,0,2,2,2,1
LINC01257,0,1,3,0,3,0,1,3,6,1
ZNF468,534,539,603,642,622,430,480,386,403,1166
TRIM15,0,0,0,0,0,1,9,7,0,1
ZNF616,566,462,731,657,648,375,383,532,870,980
FOXB2,28,52,94,100,42,1,4,1,20,3
TRIM10,0,0,0,0,0,0,0,0,0,0
TRIM40,0,0,0,0,0,0,0,0,0,0
TRIM31,0,1,0,1,1,2,2,0,0,1
RNF39,7,15,18,12,20,11,7,10,31,17
PPP1R11,0,0,0,0,0,0,0,0,0,0
HLA-J,0,0,0,1,0,1,0,1,2,6
ZNRD1ASP,7,5,4,4,0,1,1,5,16,17
DISP3,94,97,146,158,122,75,91,335,1326,217
HCG9,0,0,0,0,0,10,0,0,0,0
RACK1,22846,20220,25717,28678,33215,55635,55689,50025,32486,103872
HLA-G,0,2,0,6,0,0,0,0,0,0
TBC1D8,163,149,338,283,203,292,220,254,292,486
NMS,0,0,0,0,0,1,4,3,11,0
HLA-F,0,1,0,0,0,0,1,0,0,2
ZFP57,2,2,1,1,4,0,0,0,0,0
SSX9,0,0,0,0,0,0,0,0,0,0
LINC02210,191,169,300,304,221,175,199,297,587,467
ASPDH,0,0,1,0,0,6,12,37,40,53
MOG,0,0,3,0,4,1,2,0,4,4
OR2H2,0,0,0,2,0,0,0,0,0,0
CBY3,3,1,6,5,1,5,2,4,10,1
C5orf60,15,11,17,18,11,3,2,2,3,7
CST13P,0,1,0,0,2,0,0,0,0,0
LOC400710,0,1,0,1,3,5,14,2,3,2
C9orf57,0,0,0,0,0,0,0,0,0,0
IL31,0,0,0,0,0,0,0,0,0,0
AKT1S1,844,894,890,1141,1605,1437,1558,1646,1293,3075
FAM153C,1,4,3,1,2,1,0,1,0,8
GABBR1,196,272,861,584,271,109,28,296,850,92
CASC10,270,343,613,555,463,574,315,464,786,1045
C10orf113,0,0,0,0,0,1,0,0,0,0
LOC284788,0,0,0,0,0,0,0,0,0,2
MAS1L,0,0,0,0,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0,0,0,0,0
OR10C1,0,0,0,0,0,0,0,0,0,0
OR12D2,0,0,0,0,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0,0,0,0,0
OR11A1,0,0,0,0,0,0,0,0,0,0
OR14J1,0,0,0,0,0,0,0,0,0,0
OR2J2,0,0,0,0,0,0,0,0,0,0
OR2J3,0,0,1,0,0,0,0,0,0,0
OR2J1,0,0,0,0,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0,0,0,0,0
OR2W1,0,0,0,0,0,0,0,0,0,0
MAMDC2-AS1,0,0,4,11,6,6,13,16,25,9
SPDYC,5,7,9,6,12,0,0,1,0,2
C9orf135,260,235,372,375,321,166,86,54,53,33
TRIM27,178,256,207,439,277,74,191,243,407,445
MALRD1,17,6,13,26,11,228,967,328,21,1143
LINC01951,0,2,1,1,0,1,1,2,1,3
LOC100268168,4,8,15,13,11,23,25,32,41,59
RANBP17,158,136,328,319,243,202,60,166,206,394
FAM196B,0,5,1,3,1,4,20,24,64,25
FOXD4L5,0,4,0,3,0,4,9,5,26,9
LINC01291,0,0,0,0,0,0,0,0,0,6
LOC100240735,2,0,2,0,0,2,7,4,5,6
TTC25,30,15,49,27,25,266,129,137,215,186
MRPL53,215,244,321,374,307,790,731,797,687,1357
ST8SIA6-AS1,0,1,7,3,3,3,2,1,2,6
MROH6,22,20,28,22,20,86,45,48,50,161
ATXN2,779,792,1048,1175,811,630,482,680,1383,1359
DCTN1,5162,4729,5717,6998,7053,4073,4535,6737,7750,11618
SPATA31A1,6,0,0,12,0,1,0,0,0,0
PNMAL2,58,71,53,129,84,376,307,527,1114,931
TCTN1,156,130,290,216,174,908,1182,1088,875,1260
FAM216A,226,136,396,289,216,127,132,285,488,394
ZBTB48,189,201,403,288,195,198,226,238,507,384
IGFL2,2,0,4,4,1,1268,64,279,229,326
LOC400706,8,2,23,9,7,12,20,23,21,12
NAT8B,1,0,0,0,0,0,22,1,0,31
KRTAP9-3,0,0,0,0,0,0,0,0,0,0
LOC389602,0,0,0,0,0,0,0,1,0,0
KRTAP4-8,0,0,0,0,0,0,0,0,0,0
GPR20,1,6,8,15,5,9,23,36,6,99
KRTAP1-4,0,0,0,0,0,0,0,0,0,0
KRT40,0,0,0,0,0,21,5,3,2,12
KRT25,0,0,0,0,0,5,0,1,0,2
MZT1,814,761,761,1289,1125,418,433,1083,1153,1022
LINC01545,3,4,7,11,7,1,3,2,1,2
SPINK9,19,9,19,16,12,5,1,6,17,14
LRRC3C,0,0,0,0,0,2,0,1,3,4
PRR20B,0,0,0,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0,0,0,0
ZNF155,143,106,198,202,135,104,158,154,242,287
UQCC3,286,288,424,564,552,352,426,365,365,847
FBXO48,58,50,53,80,46,54,82,65,120,120
GRXCR2,0,0,0,0,0,0,0,0,0,0
LOC101927533,0,1,3,1,1,6,3,5,3,1
FAM221B,1,7,0,0,0,5,10,1,6,3
ATP6V0E2-AS1,23,14,48,25,16,52,102,156,206,97
CD177,402,386,361,188,210,57,26,194,14,349
PSG5,6,3,30,1,10,5,1,0,2,20
ZNF783,105,143,355,241,168,261,208,358,678,584
ZNF425,108,138,238,203,186,173,165,219,290,398
FAM83A-AS1,1,2,0,0,1,2,0,0,0,0
LRRC10B,9,11,9,18,25,363,165,224,336,231
FBXO47,0,0,0,1,0,0,2,0,0,0
C12orf73,112,102,214,171,175,133,188,232,351,295
PCDHGA1,23,26,9,14,22,11,4,2,17,22
BLACE,0,0,0,1,0,0,1,1,0,0
PCDHA9,5,12,16,14,10,9,6,7,21,6
PCDHA8,10,12,8,11,16,21,11,13,30,40
PCDHA7,24,27,29,32,5,36,34,85,81,79
PCDHA5,7,16,5,5,5,24,14,44,54,29
PCDHA4,155,100,155,257,311,708,553,732,1949,1659
PCDHA2,14,12,23,35,7,17,4,43,120,43
PCDHA1,17,8,13,9,11,10,7,60,140,10
TRIM13,906,846,1556,1340,817,928,967,1296,1636,1735
ERICH4,0,0,0,0,0,20,61,8,0,23
MS4A13,0,0,0,0,0,0,0,0,0,0
PRSS1,5,6,3,8,2,10,24,69,1,33
SPIRE2,114,107,226,162,77,241,234,294,593,440
AARD,36,14,40,29,42,28,77,130,68,86
LINC02138,0,0,0,0,1,0,0,0,0,0
LOC100129697,0,1,1,0,1,2,4,2,26,0
PABPN1L,0,0,0,0,0,0,0,0,2,0
OR5D16,0,0,0,0,0,0,0,0,0,0
OR5L2,0,0,0,0,0,0,0,0,0,0
LOC440040,0,0,0,0,0,0,0,0,0,0
LOC400553,2,0,1,2,1,37,7,24,146,21
PKHD1L1,10,7,5,2,49,106,116,75,12,697
SLFN12L,14,12,24,5,6,4,2,6,11,13
LINC01121,3,0,0,0,0,6,4,0,3,0
LINC02397,2,1,4,8,6,7,5,3,13,14
CLLU1OS,0,0,0,0,0,0,0,0,0,0
SLC35B4,1100,1196,1634,2120,1954,415,753,1363,1837,1744
LGALS7,3,5,0,0,7,301,58,0,2,50
SYCE1L,20,24,48,52,24,85,134,162,200,249
TMEM231,144,163,227,310,186,952,867,800,1064,1007
FAM71F2,0,0,0,0,0,0,0,0,10,0
C2orf91,7,6,15,7,6,8,13,24,5,36
CCNI2,12,10,44,16,31,26,47,85,82,124
TMEM240,9,29,40,36,22,94,106,204,354,207
FRG2,0,0,1,1,1,0,0,1,1,3
DKFZp779M0652,0,0,0,0,0,2,4,4,3,4
FAM205A,0,0,2,0,0,0,0,0,0,0
CDKL4,2,0,1,1,1,0,2,0,0,0
TMEM88B,5,11,13,12,15,3,2,5,7,3
ACCSL,2,0,0,1,2,2,0,0,0,0
C4orf47,14,9,15,15,6,46,57,14,42,32
TRIQK,294,270,448,505,296,814,685,763,1125,1502
SDHAF1,111,143,142,211,200,257,247,262,347,513
ARID3C,1,2,0,0,0,3,7,7,20,8
PSENEN,562,530,553,661,715,1223,1047,903,752,2001
REXO1L1P,8,0,9,9,10,0,2,4,6,8
C11orf91,0,0,1,1,0,0,0,3,3,3
LINC00654,14,10,11,29,15,42,7,76,47,52
FABP9,0,0,0,0,0,0,0,0,0,0
ZBTB10,927,1071,1128,1390,881,746,769,1813,2340,2168
C4orf46,686,686,1155,1319,901,369,455,922,750,1237
SCGB2B2,2,2,3,2,2,38,6,12,34,50
CCDC144NL,11,0,2,15,11,4,1,6,37,31
