gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
VN1R31P,0,0,0,0,0,0,0,0,0,0,0,0
ZBED5,2228,2256,2489,2682,3160,2974,2883,2448,3145,4068,3331,2806
GACAT3,0,0,0,0,0,0,0,0,0,0,0,0
EEF1GP7,3,0,0,1,0,1,2,0,0,0,0,5
GUSBP5,1,10,0,3,2,4,13,5,0,7,8,2
EEF1A1P23,5,0,4,19,16,22,6,8,16,9,12,25
MRGPRG-AS1,0,1,1,1,4,1,0,2,1,1,0,0
LOC107984360,0,0,0,0,0,2,0,0,0,0,0,0
SLC12A9-AS1,5,1,4,1,1,1,0,1,8,0,0,0
LINC01241,0,0,0,0,0,0,0,0,0,0,0,0
TLX1NB,0,0,0,0,2,0,0,2,0,0,0,7
VN1R53P,0,0,0,0,0,0,0,0,0,0,0,0
OR7E109P,0,0,0,0,0,0,0,0,0,0,0,0
RPS28P2,3,1,3,1,7,1,6,1,1,2,10,3
LOC100418888,0,0,1,1,0,0,1,0,0,0,0,9
SLFN14,188,13,233,200,161,205,226,105,247,234,177,221
RPL5P9,0,2,1,0,0,1,0,0,0,1,1,0
PPIAL4G,10,1,11,19,4,15,8,14,3,17,2,17
POM121L13P,0,0,0,0,0,0,0,0,0,0,0,0
GRM8-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,606,467,400,834,972,96,1188,993,323,520,1257,1215
SCAT8,0,0,0,1,1,0,2,0,0,0,0,2
PSMC1P10,0,1,0,0,1,0,0,0,0,0,1,3
PBX2,122,195,116,40,140,305,57,154,155,216,306,133
EI24P1,0,0,0,0,0,0,0,1,0,0,0,0
OR51B8P,7,11,14,10,11,13,18,16,12,29,18,40
GAGE2C,18220,9641,14440,13654,12108,17730,19788,8011,16451,18909,13804,13173
LOC153910,0,0,9,17,7,5,0,1,3,0,2,6
CT47A1,24,106,140,45,85,8,52,105,33,0,0,30
LINC02653,0,0,0,0,0,0,0,0,0,0,0,0
CCDC200,5,23,11,10,17,6,21,24,7,10,4,4
LINC00479,0,0,0,0,5,0,0,2,0,0,3,0
LOC101927476,26,90,147,250,406,156,44,228,80,118,151,196
RPS15AP22,0,0,0,0,0,0,0,0,0,0,0,0
SLC35G4,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R39,0,0,0,0,0,0,0,0,0,0,0,0
TRIM40,0,0,0,0,0,0,0,1,0,0,0,0
KRTAP21-4P,0,0,0,0,0,0,0,0,0,0,0,0
SLC4A1APP2,0,0,0,0,0,0,0,0,0,0,0,0
VLDLR-AS1,0,76,38,34,33,25,22,45,7,5,70,38
LOC107985643,0,0,0,0,0,0,0,0,0,0,0,0
HLA-DQA1,316,1199,279,582,126,276,205,0,277,692,0,708
LINC01134,31,26,43,114,34,42,54,13,19,59,19,47
TSPY10,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R18,261,336,371,479,584,401,165,151,68,567,366,375
MFF-DT,2,20,28,94,90,33,19,66,70,25,103,25
RPL37P21,0,0,0,0,0,0,0,0,0,0,0,0
TSPY12P,0,0,0,0,0,0,0,0,0,0,0,0
LINC02850,0,0,0,0,0,0,0,0,0,0,0,2
FAM157A,1768,2394,2152,2713,2731,2376,2027,2323,1975,3084,2668,2109
UBE2L5,3,7,1,1,3,0,1,1,8,7,1,1
CT47B1,2,42,24,18,17,7,0,36,0,2,0,27
SNX2P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928748,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1-AS1,1,8,2,3,4,4,3,1,2,2,0,1
LOC100421840,0,0,0,3,0,0,0,0,0,5,0,0
MTND2P40,0,0,0,0,0,0,0,0,0,0,0,0
RRM2P2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288233,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P10,0,4,0,1,2,1,5,7,3,0,0,3
TAPBP,911,1483,1234,1838,1496,1210,1046,1892,1453,1245,1864,1892
GPS2P1,0,0,0,0,0,0,0,0,0,0,0,1
LINC01744,0,18,1,0,0,6,2,5,1,0,0,2
LINC00896,28,29,47,31,55,25,26,49,32,42,22,27
